record_id,group,expected_dangerous,existing_category,text,text_sha256
PASSIVE_AND_MIXED_ORDER_ADVOCACY-01-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying an unsafe leap at height is presented as something the audience should do.,9bc85b7a447b7b76da056b183ed8e886183c64c05f6613435627821bb6f6b276
PASSIVE_AND_MIXED_ORDER_ADVOCACY-01-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform an unsafe leap at height despite the injury risk.,a062b147a8e78bfbce8188352370ff6daaeafdc23bcf02a48a8ecf626ac2d1be
PASSIVE_AND_MIXED_ORDER_ADVOCACY-01-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy an unsafe leap at height, the creator tells untrained followers while dismissing safety.",2a5ac0610fce272ab94a06c00af82dbe8c778f63c2d466266801e23a4034b421
PASSIVE_AND_MIXED_ORDER_ADVOCACY-01-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate an unsafe leap at height even though it is hazardous.,26ecc7f69cb11c8bf0abbad7cd4301210c27fe19383013f5ed240f623e4336a3
PASSIVE_AND_MIXED_ORDER_ADVOCACY-01-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in an unsafe leap at height is encouraged as a reckless online challenge.,28937374b6fb533cbbca065eea752a870122d7dce2e38d6abb57a36b0dfcad7e
PASSIVE_AND_MIXED_ORDER_ADVOCACY-02-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying tampering with a protective machine guard is presented as something the audience should do.,faabafbc0aa5b2f8e64a6b775c6170b120d200cbf95a0616abc0b447db97586f
PASSIVE_AND_MIXED_ORDER_ADVOCACY-02-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform tampering with a protective machine guard despite the injury risk.,6b75a080e795c6b60aa078f11beeedd6680b69c453ad49c8df7893366eeede50
PASSIVE_AND_MIXED_ORDER_ADVOCACY-02-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy tampering with a protective machine guard, the creator tells untrained followers while dismissing safety.",496a2c35f176025ff97bd5abdf29e64d4859e7a87610394559fed8b244c06f4c
PASSIVE_AND_MIXED_ORDER_ADVOCACY-02-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate tampering with a protective machine guard even though it is hazardous.,ab8e8302fb8b11ec049dcdd929a95e8239122476ae4463f924738ca1e5e62d87
PASSIVE_AND_MIXED_ORDER_ADVOCACY-02-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in tampering with a protective machine guard is encouraged as a reckless online challenge.,8428f70114742b99821d307f83e035a73c0b178d5f27c1a46b6edec23737cf34
PASSIVE_AND_MIXED_ORDER_ADVOCACY-03-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying an unprotected corrosive-material activity is presented as something the audience should do.,24e57e4601d7ffbb380471c61939cc66277e1fca2d996016818ee1ff8ca5bb62
PASSIVE_AND_MIXED_ORDER_ADVOCACY-03-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform an unprotected corrosive-material activity despite the injury risk.,471d9dc640828739edeb59548b301326e138a5c859cd11ebd6a48156912b68e4
PASSIVE_AND_MIXED_ORDER_ADVOCACY-03-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy an unprotected corrosive-material activity, the creator tells untrained followers while dismissing safety.",d2663312d047f5f5ca6351874d46b14e83930ac65212df31d9fd3483f32d9707
PASSIVE_AND_MIXED_ORDER_ADVOCACY-03-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate an unprotected corrosive-material activity even though it is hazardous.,0f92b82ca142dda898f63695af1dbd9c5812f89081ddb0a64978d96e1c1accff
PASSIVE_AND_MIXED_ORDER_ADVOCACY-03-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in an unprotected corrosive-material activity is encouraged as a reckless online challenge.,0fa4ec78bac2acfa374a310e3a08437464f27b00cd12b8bc9cc8a33b97a90daa
PASSIVE_AND_MIXED_ORDER_ADVOCACY-04-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying a reckless moving-vehicle stunt is presented as something the audience should do.,a4bf315d710862af8146381cabbb28565d5b4a07e249ffc603fa7c87208d227b
PASSIVE_AND_MIXED_ORDER_ADVOCACY-04-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform a reckless moving-vehicle stunt despite the injury risk.,87a22b705dd03d51e07be98ef855d093a0460fb2b92fcb4dbb3df4311afd2626
PASSIVE_AND_MIXED_ORDER_ADVOCACY-04-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy a reckless moving-vehicle stunt, the creator tells untrained followers while dismissing safety.",23e535d377fcdf3214367902f53ff1e9767e52c32435eb85830c18534c22e368
PASSIVE_AND_MIXED_ORDER_ADVOCACY-04-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate a reckless moving-vehicle stunt even though it is hazardous.,7267d16121fe8d1782a5b1a617096800fab2ede5449c2d221a780a0fad5cb0c1
PASSIVE_AND_MIXED_ORDER_ADVOCACY-04-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in a reckless moving-vehicle stunt is encouraged as a reckless online challenge.,3e4e7e9761376f53c2d04e2fadcf8c1c4586458feac4282233d8ca09b3e895d8
PASSIVE_AND_MIXED_ORDER_ADVOCACY-05-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying standing beneath unstable debris is presented as something the audience should do.,e06566fccfaa139fe086dc8d3bbc4c73caf8897ab8e78fba8491da3b39dd683e
PASSIVE_AND_MIXED_ORDER_ADVOCACY-05-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform standing beneath unstable debris despite the injury risk.,507d2385191ff84ff9038fbe6f25d8ba9a0b18a312c2da3b4fcfc0c029da806b
PASSIVE_AND_MIXED_ORDER_ADVOCACY-05-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy standing beneath unstable debris, the creator tells untrained followers while dismissing safety.",f87b0d5c0517d59a3f700408ca8cb030199634104c6feedb0a9a8f2fb7f59144
PASSIVE_AND_MIXED_ORDER_ADVOCACY-05-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate standing beneath unstable debris even though it is hazardous.,2713200da70700150a503a7400859ea5826e99843f8682fe7d81758806ed5f27
PASSIVE_AND_MIXED_ORDER_ADVOCACY-05-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in standing beneath unstable debris is encouraged as a reckless online challenge.,81fa1b3f3e1f60bb1088dd50f310a96fe7e82f19d9be2ab8d0e16e927d56d88e
PASSIVE_AND_MIXED_ORDER_ADVOCACY-06-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying an uncontrolled pressure experiment is presented as something the audience should do.,9ff389f36970f6ad03e6808b091243a0ac1738cf482f50177bc2f12d71439c2d
PASSIVE_AND_MIXED_ORDER_ADVOCACY-06-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform an uncontrolled pressure experiment despite the injury risk.,2b6fa1cb767e5b9c478877147c1f5f226d6d69550bb96d25dafc50ff23853ebe
PASSIVE_AND_MIXED_ORDER_ADVOCACY-06-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy an uncontrolled pressure experiment, the creator tells untrained followers while dismissing safety.",2de05cc736714f771806cc866b7585a9610f35001a72b5a6438f606661336a56
PASSIVE_AND_MIXED_ORDER_ADVOCACY-06-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate an uncontrolled pressure experiment even though it is hazardous.,e9d6473b12b0a0dac06efaa6513887204761323dc0fce1aa61569a5a3c07d3c1
PASSIVE_AND_MIXED_ORDER_ADVOCACY-06-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in an uncontrolled pressure experiment is encouraged as a reckless online challenge.,042a69887f5cd955dcbf44ba7abacf06dc50342bee6bd9aacf0b579b89b3b688
PASSIVE_AND_MIXED_ORDER_ADVOCACY-07-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying entering a dangerous restricted structure is presented as something the audience should do.,96c1d8ee60fe63bbdd671750cc5dbdde272bad9444719853c91d9f060cf4efe4
PASSIVE_AND_MIXED_ORDER_ADVOCACY-07-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform entering a dangerous restricted structure despite the injury risk.,108f54efe80f85298afdb71a0e75f4ab13df84f122e7465c9a18a0e1d200fc96
PASSIVE_AND_MIXED_ORDER_ADVOCACY-07-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy entering a dangerous restricted structure, the creator tells untrained followers while dismissing safety.",2f970cc9c276485d843cfcaae26c0bfa115be7d58a2d40edf49b35f1fc682d1e
PASSIVE_AND_MIXED_ORDER_ADVOCACY-07-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate entering a dangerous restricted structure even though it is hazardous.,12bf16014270480ee553aac42cebba9b7ad537bb6e81c92e6967b241b16d3bf2
PASSIVE_AND_MIXED_ORDER_ADVOCACY-07-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in entering a dangerous restricted structure is encouraged as a reckless online challenge.,a09d66796fb35ed72f4856e6060b325a04cd709f5ea26d1a93b9de68ea0056fe
PASSIVE_AND_MIXED_ORDER_ADVOCACY-08-01,passive_and_mixed_order_advocacy,True,Normal/Ignore,Trying an act that exposes another person to bodily harm is presented as something the audience should do.,126546e976f81812b8dbf9e11b2f4f02fefc6174c0006a8fffd7d9e32f4a313a
PASSIVE_AND_MIXED_ORDER_ADVOCACY-08-02,passive_and_mixed_order_advocacy,True,Normal/Ignore,An amateur is dared by the uploader to perform an act that exposes another person to bodily harm despite the injury risk.,7717b60a7da82afdc8917756ee0621dee9f3cb96a76dcce95b2536bc5dafae3d
PASSIVE_AND_MIXED_ORDER_ADVOCACY-08-03,passive_and_mixed_order_advocacy,True,Normal/Ignore,"Copy an act that exposes another person to bodily harm, the creator tells untrained followers while dismissing safety.",ddf781041cdbb4a83e6bb42cef6cedd898a4be81f8c101068a8823d6d13ee9f8
PASSIVE_AND_MIXED_ORDER_ADVOCACY-08-04,passive_and_mixed_order_advocacy,True,Normal/Ignore,The public is challenged to recreate an act that exposes another person to bodily harm even though it is hazardous.,c4ac68bfd69b07252b8581fb2364ff64e0613fdf35ebc9deb05d9156553513f1
PASSIVE_AND_MIXED_ORDER_ADVOCACY-08-05,passive_and_mixed_order_advocacy,True,Normal/Ignore,Participation in an act that exposes another person to bodily harm is encouraged as a reckless online challenge.,d91c76da5984f30a3717e957d5c3c8dcd7e4fa9395d4f8444530e369e2d44f02
WARNING_REPORTING_AND_PREVENTION-01-01,warning_reporting_and_prevention,False,Normal/Ignore,A safety notice warns people not to try an unsafe electrical stunt.,cde9b68d0e0c4eb3adca9059706cad72b2f7bcc73d7d39cd88e9825c13ea778a
WARNING_REPORTING_AND_PREVENTION-01-02,warning_reporting_and_prevention,False,Normal/Ignore,The report condemns an unsafe electrical stunt and explains prevention.,82c94b9dba2fe57f214978a0eef29cd0cd836ccb234395e4c3b7cca004d3a601
WARNING_REPORTING_AND_PREVENTION-01-03,warning_reporting_and_prevention,False,Normal/Ignore,An educator discourages anyone from copying an unsafe electrical stunt.,47ab62c55176d9eed8c285f42c415a125b3b0bdb837f6b1d03ee306a23041193
WARNING_REPORTING_AND_PREVENTION-01-04,warning_reporting_and_prevention,False,Normal/Ignore,A news report describes an unsafe electrical stunt without endorsing it.,3897bb596e8ba8a451df7f0b57049365204b2a11b839ddc84cf4dd655bf6004a
WARNING_REPORTING_AND_PREVENTION-01-05,warning_reporting_and_prevention,False,Normal/Ignore,The article says viewers must avoid an unsafe electrical stunt because it is dangerous.,b81792e52ed2ebfdfa8ecdf3e06231cefd1b4befaac958cf2e45e1176afb4728
WARNING_REPORTING_AND_PREVENTION-02-01,warning_reporting_and_prevention,False,Normal/Ignore,A safety notice warns people not to try a dangerous rooftop challenge.,095db5297f54625eb28e59c43ec09d6aefb3712fed4ec1c09be4c64f45bb8ef6
WARNING_REPORTING_AND_PREVENTION-02-02,warning_reporting_and_prevention,False,Normal/Ignore,The report condemns a dangerous rooftop challenge and explains prevention.,f53d1f1624a974d20d711f42b4ceb65b71bba70239f14a67dd9db64bcf5f0881
WARNING_REPORTING_AND_PREVENTION-02-03,warning_reporting_and_prevention,False,Normal/Ignore,An educator discourages anyone from copying a dangerous rooftop challenge.,44a1422ed2a7294435438b843443c9a7bf6855f89881ed22495b22b76405f4d4
WARNING_REPORTING_AND_PREVENTION-02-04,warning_reporting_and_prevention,False,Normal/Ignore,A news report describes a dangerous rooftop challenge without endorsing it.,5f18a3a808d074b571b4d104f6128b8ed2b3cbd59531ec0040c6e34b14d24252
WARNING_REPORTING_AND_PREVENTION-02-05,warning_reporting_and_prevention,False,Normal/Ignore,The article says viewers must avoid a dangerous rooftop challenge because it is dangerous.,3ad9caedb317791f3c4bb11f7c5d10f0fb858e458ba1288de925bdbc2b1bd72f
WARNING_REPORTING_AND_PREVENTION-03-01,warning_reporting_and_prevention,False,Normal/Ignore,A safety notice warns people not to try a hazardous household experiment.,182ad1f523d9fd1a2fe1f656089f31def1beb63f830035c4228574833dc3b7fb
WARNING_REPORTING_AND_PREVENTION-03-02,warning_reporting_and_prevention,False,Normal/Ignore,The report condemns a hazardous household experiment and explains prevention.,c4f1b89b30446df85bdb6f7e3853df14e28485df8ee9319a9c8c4180c2ec5e66
WARNING_REPORTING_AND_PREVENTION-03-03,warning_reporting_and_prevention,False,Normal/Ignore,An educator discourages anyone from copying a hazardous household experiment.,6707cbef6c5d7f23ea05317adec21fa753be18bffb2c3b6c4b75ec1fe3fa927a
WARNING_REPORTING_AND_PREVENTION-03-04,warning_reporting_and_prevention,False,Normal/Ignore,A news report describes a hazardous household experiment without endorsing it.,265e795c114ad019b7314421c77fc446c8144e7f9c76bd19664aad975aa3556f
WARNING_REPORTING_AND_PREVENTION-03-05,warning_reporting_and_prevention,False,Normal/Ignore,The article says viewers must avoid a hazardous household experiment because it is dangerous.,8640e9a1a2fb5243ad7045235806c39fc08d302460f5c38de79fadfaa4552535
WARNING_REPORTING_AND_PREVENTION-04-01,warning_reporting_and_prevention,False,Normal/Ignore,A safety notice warns people not to try a reckless vehicle trend.,aecf0cf0e161e57aef58ac1d739f52644f7b588cbff551da044ec9fcb364deb4
WARNING_REPORTING_AND_PREVENTION-04-02,warning_reporting_and_prevention,False,Normal/Ignore,The report condemns a reckless vehicle trend and explains prevention.,f051ad646359804036df7837b97f86607e5004cbd89b11f019b2dd43a976e771
WARNING_REPORTING_AND_PREVENTION-04-03,warning_reporting_and_prevention,False,Normal/Ignore,An educator discourages anyone from copying a reckless vehicle trend.,f74bccdb50e06743c5713a25afb2cee4d800dfb87f4d66f824060c633a85ff04
WARNING_REPORTING_AND_PREVENTION-04-04,warning_reporting_and_prevention,False,Normal/Ignore,A news report describes a reckless vehicle trend without endorsing it.,cac10c2340380013f2d2bdab21dce2fc398616709d45304132b8f55f8f25a1f8
WARNING_REPORTING_AND_PREVENTION-04-05,warning_reporting_and_prevention,False,Normal/Ignore,The article says viewers must avoid a reckless vehicle trend because it is dangerous.,1210a4f79c32ec1d52b5e56ebd04290c63cb8c3fa06728f9f4cd9f8cd57c1a8b
WARNING_REPORTING_AND_PREVENTION-05-01,warning_reporting_and_prevention,False,Normal/Ignore,A safety notice warns people not to try an act that could destroy property.,e44d3fc3eb1ff81fd5f34c86021a42f64bb8711070e54ee518114978520dd78c
WARNING_REPORTING_AND_PREVENTION-05-02,warning_reporting_and_prevention,False,Normal/Ignore,The report condemns an act that could destroy property and explains prevention.,3aa924c1905cd1b9e0bf61c95ef339bdc8823fbfd0a0dc7d19bc28aab1d319e1
WARNING_REPORTING_AND_PREVENTION-05-03,warning_reporting_and_prevention,False,Normal/Ignore,An educator discourages anyone from copying an act that could destroy property.,d9ba43c721d63c9272c43053c59cca17f55cf60c9e41fc431da673fc761a1df7
WARNING_REPORTING_AND_PREVENTION-05-04,warning_reporting_and_prevention,False,Normal/Ignore,A news report describes an act that could destroy property without endorsing it.,2e05a6e5423e057c0efba13ccff0596792cd9f77d13ee2ec30bc723195ef66ba
WARNING_REPORTING_AND_PREVENTION-05-05,warning_reporting_and_prevention,False,Normal/Ignore,The article says viewers must avoid an act that could destroy property because it is dangerous.,5e1691ec3b59aabb2f8b2e45fe28f71596c79a12ad482379318ae39ec36be05f
WARNING_REPORTING_AND_PREVENTION-06-01,warning_reporting_and_prevention,False,Normal/Ignore,A safety notice warns people not to try a prank that risks bodily harm.,6e3ac9ee06c7835909dbeb3dafa2ca33f91a27f9f0b8d246782b639dad307b38
WARNING_REPORTING_AND_PREVENTION-06-02,warning_reporting_and_prevention,False,Normal/Ignore,The report condemns a prank that risks bodily harm and explains prevention.,9a95e5e8f677a71aa2f997cfb82233f959dca0337da023bb4f6e827011be99f1
WARNING_REPORTING_AND_PREVENTION-06-03,warning_reporting_and_prevention,False,Normal/Ignore,An educator discourages anyone from copying a prank that risks bodily harm.,805572517a1c6183c3bf583fb15a69223b53fcb390433e6b9b7d68b52c7e3da4
WARNING_REPORTING_AND_PREVENTION-06-04,warning_reporting_and_prevention,False,Normal/Ignore,A news report describes a prank that risks bodily harm without endorsing it.,aae61cb218743a72d0d87c5cbfc0382538fea8f2cccf0e8caa72617c04dde55d
WARNING_REPORTING_AND_PREVENTION-06-05,warning_reporting_and_prevention,False,Normal/Ignore,The article says viewers must avoid a prank that risks bodily harm because it is dangerous.,f96c8400cab0c2e0f13e5ef657a8b1ea95d218fb90809f85cc97ace24a538363
WARNING_REPORTING_AND_PREVENTION-07-01,warning_reporting_and_prevention,False,Normal/Ignore,A safety notice warns people not to try entry into flood water.,76e6e627a486471ad3fea874643509c38590a83a28a5533869e235ee2a29df37
WARNING_REPORTING_AND_PREVENTION-07-02,warning_reporting_and_prevention,False,Normal/Ignore,The report condemns entry into flood water and explains prevention.,f836eebe5b917ba8f6922d94a68154180a788ba199815f82228974de3ad323d2
