record_id,group,text,expected_category,existing_category,existing_action,existing_review
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-001,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 1.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-026,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 26.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-027,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 27.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-028,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 28.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-029,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 29.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-030,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 30.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-031,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 31.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-032,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 32.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-033,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 33.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-034,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 34.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-035,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 35.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-036,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 36.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-037,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 37.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-038,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 38.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-039,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 39.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-040,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 40.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-041,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 41.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-042,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 42.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-043,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 43.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-044,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 44.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-045,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 45.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-046,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 46.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-047,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 47.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-048,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 48.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-049,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 49.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-050,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 50.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-051,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 51.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-052,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 52.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-053,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 53.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-054,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 54.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-055,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 55.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-056,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 56.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-057,reordered_ransomware_and_wiper_actions,A hostile account installs ransomware on unrelated endpoints; RC2 development 57.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-058,reordered_ransomware_and_wiper_actions,The operator deployed a destructive wiper to unrelated systems; RC2 development 58.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-059,reordered_ransomware_and_wiper_actions,An untrusted post uploads malware for use on victim devices; RC2 development 59.,Malicious Programs,Normal/Ignore,Allow,False
REORDERED_RANSOMWARE_AND_WIPER_ACTIONS-060,reordered_ransomware_and_wiper_actions,The campaign hosted a computer virus for download by targets; RC2 development 60.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-001,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 1.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-002,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 2.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-003,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 3.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-004,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 4.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-005,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 5.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-006,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 6.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-007,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 7.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-008,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 8.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-009,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 9.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-010,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 10.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-011,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 11.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-012,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 12.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-013,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 13.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-014,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 14.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-015,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 15.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-016,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 16.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-017,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 17.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-018,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 18.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-019,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 19.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-020,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 20.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-021,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 21.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-022,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 22.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-023,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 23.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-024,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 24.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-025,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 25.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-026,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 26.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-027,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 27.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-028,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 28.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-029,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 29.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-030,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 30.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-031,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 31.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-032,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 32.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-033,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 33.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-034,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 34.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-035,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 35.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-036,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 36.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-037,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 37.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-038,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 38.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-039,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 39.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-040,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 40.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-041,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 41.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-042,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 42.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-043,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 43.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-044,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 44.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-045,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 45.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-046,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 46.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-047,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 47.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-048,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 48.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-049,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 49.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-050,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 50.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-051,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 51.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-052,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 52.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-053,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 53.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-054,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 54.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-055,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 55.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-056,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 56.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-057,passive_and_object_first_delivery,Ransomware is distributed by this account to victim devices; RC2 development 57.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-058,passive_and_object_first_delivery,A destructive wiper was delivered through this download to targets; RC2 development 58.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-059,passive_and_object_first_delivery,The malicious payload is being hosted for installation on user systems; RC2 development 59.,Malicious Programs,Normal/Ignore,Allow,False
PASSIVE_AND_OBJECT_FIRST_DELIVERY-060,passive_and_object_first_delivery,A trojan program was uploaded by the account for deployment on endpoints; RC2 development 60.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-001,separated_action_and_capability_evidence,The account uploads an attachment for victims. Evidence identifies the attachment as malware; RC2 development 1.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-002,separated_action_and_capability_evidence,The campaign delivers a program to targets. The program is ransomware; RC2 development 2.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-003,separated_action_and_capability_evidence,The post hosts a binary for installation. Analysis identifies a credential stealer; RC2 development 3.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-004,separated_action_and_capability_evidence,The user deploys an attachment across endpoints. It is a remote access trojan; RC2 development 4.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-005,separated_action_and_capability_evidence,The account uploads an attachment for victims. Evidence identifies the attachment as malware; RC2 development 5.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-006,separated_action_and_capability_evidence,The campaign delivers a program to targets. The program is ransomware; RC2 development 6.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-007,separated_action_and_capability_evidence,The post hosts a binary for installation. Analysis identifies a credential stealer; RC2 development 7.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-008,separated_action_and_capability_evidence,The user deploys an attachment across endpoints. It is a remote access trojan; RC2 development 8.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-009,separated_action_and_capability_evidence,The account uploads an attachment for victims. Evidence identifies the attachment as malware; RC2 development 9.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-010,separated_action_and_capability_evidence,The campaign delivers a program to targets. The program is ransomware; RC2 development 10.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-011,separated_action_and_capability_evidence,The post hosts a binary for installation. Analysis identifies a credential stealer; RC2 development 11.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-012,separated_action_and_capability_evidence,The user deploys an attachment across endpoints. It is a remote access trojan; RC2 development 12.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-013,separated_action_and_capability_evidence,The account uploads an attachment for victims. Evidence identifies the attachment as malware; RC2 development 13.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-014,separated_action_and_capability_evidence,The campaign delivers a program to targets. The program is ransomware; RC2 development 14.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-015,separated_action_and_capability_evidence,The post hosts a binary for installation. Analysis identifies a credential stealer; RC2 development 15.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-016,separated_action_and_capability_evidence,The user deploys an attachment across endpoints. It is a remote access trojan; RC2 development 16.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-017,separated_action_and_capability_evidence,The account uploads an attachment for victims. Evidence identifies the attachment as malware; RC2 development 17.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-018,separated_action_and_capability_evidence,The campaign delivers a program to targets. The program is ransomware; RC2 development 18.,Malicious Programs,Normal/Ignore,Allow,False
SEPARATED_ACTION_AND_CAPABILITY_EVIDENCE-019,separated_action_and_capability_evidence,The post hosts a binary for installation. Analysis identifies a credential stealer; RC2 development 19.,Malicious Programs,Normal/Ignore,Allow,False
