id,content_type,file_name,file_type,document_title,extracted_text,embedded_image_description,category,severity,action,human_review_required,grey_case,reason,policy_version
DOC-0017,document,sample_document_0017.docx,docx,Synthetic Abusive Words document,A user directly tells another person: you are a disgusting idiot.,No embedded image.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
DOC-0018,document,sample_document_0018.txt,txt,Synthetic Child Exploitation document,An adult asks a minor to keep their private conversation secret.,No embedded image.,Child Exploitation,Critical,Flag and send for human review,True,True,"The content contains indicators of Child Exploitation, but the final enforcement decision requires human review.",2026.08
DOC-0019,document,sample_document_0019.pdf,pdf,Synthetic Normal/Ignore document,A user shares a photograph of a meal with friends.,A safe synthetic illustration associated with the labeled policy example.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
DOC-0020,document,sample_document_0020.docx,docx,Synthetic Religiously Offensive Content document,The message encourages people to destroy a religious symbol.,No embedded image.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
DOC-0021,document,sample_document_0021.txt,txt,Synthetic Hate Speech & Discrimination document,The message calls for a religious group to be excluded from society.,No embedded image.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
DOC-0022,document,sample_document_0022.pdf,pdf,Synthetic Terrorism & Extremism document,The message requests donations for a terrorist organization.,A safe synthetic illustration associated with the labeled policy example.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
DOC-0023,document,sample_document_0023.docx,docx,Synthetic Violent Content document,The content graphically depicts a person being tortured.,No embedded image.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
DOC-0024,document,sample_document_0024.txt,txt,Synthetic Dangerous Content document,A post encourages users to jump from a roof as part of a challenge.,No embedded image.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
DOC-0025,document,sample_document_0025.pdf,pdf,"Synthetic Graphic, Obscene & Sexual Content document",The image description indicates visible genitalia outside an allowed context.,A safe synthetic illustration associated with the labeled policy example.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
DOC-0026,document,sample_document_0026.docx,docx,Synthetic Sexual Harassment document,The message contains an unwanted request for a sexual favour.,No embedded image.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
DOC-0027,document,sample_document_0027.txt,txt,Synthetic Cyberbullying & Harassment document,Several accounts coordinate to publicly humiliate one individual.,No embedded image.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
DOC-0028,document,sample_document_0028.pdf,pdf,Synthetic Invasion of Privacy document,The content contains a leaked intimate video posted without consent.,A safe synthetic illustration associated with the labeled policy example.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
DOC-0029,document,sample_document_0029.docx,docx,Synthetic Illegal Activities document,The message advertises an unapproved medicine as a guaranteed cure.,No embedded image.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
DOC-0030,document,sample_document_0030.txt,txt,Synthetic Publishing Private Information document,The content publishes someone's credit card number and contact details.,No embedded image.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
DOC-0031,document,sample_document_0031.pdf,pdf,Synthetic Identity Theft & Impersonation document,A fake customer-support profile pretends to represent a company.,A safe synthetic illustration associated with the labeled policy example.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
DOC-0032,document,sample_document_0032.docx,docx,Synthetic Misinformation & Fake News document,A manipulated headline makes a claim unsupported by the article.,No embedded image.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
DOC-0033,document,sample_document_0033.txt,txt,"Synthetic Spam, Scam & Phishing document",A fake banking message asks the recipient to share their password.,No embedded image.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
DOC-0034,document,sample_document_0034.pdf,pdf,Synthetic Intellectual Property Infringement document,The content offers counterfeit products using a protected trademark.,A safe synthetic illustration associated with the labeled policy example.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
DOC-0035,document,sample_document_0035.docx,docx,Synthetic Malicious Programs document,The content distributes a ransomware payload intended to compromise devices.,No embedded image.,Malicious Programs,Critical,Flag and send for human review,True,True,"The content contains indicators of Malicious Programs, but the final enforcement decision requires human review.",2026.08
DOC-0036,document,sample_document_0036.txt,txt,Synthetic Abusive Words document,The message calls a targeted person a stupid loser and piece of trash.,No embedded image.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
DOC-0037,document,sample_document_0037.pdf,pdf,Synthetic Child Exploitation document,An account asks a child to send private personal images.,A safe synthetic illustration associated with the labeled policy example.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
DOC-0038,document,sample_document_0038.docx,docx,Synthetic Normal/Ignore document,A teacher posts an ordinary classroom announcement.,No embedded image.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
DOC-0039,document,sample_document_0039.txt,txt,Synthetic Religiously Offensive Content document,A user posts denigrating abuse directed at a religious prophet.,No embedded image.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
DOC-0040,document,sample_document_0040.pdf,pdf,Synthetic Hate Speech & Discrimination document,A user attacks people because of their race and nationality.,A safe synthetic illustration associated with the labeled policy example.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
DOC-0041,document,sample_document_0041.docx,docx,Synthetic Terrorism & Extremism document,The content distributes extremist recruitment propaganda.,No embedded image.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
DOC-0042,document,sample_document_0042.txt,txt,Synthetic Violent Content document,The image description contains visible internal organs after an attack.,No embedded image.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
DOC-0043,document,sample_document_0043.pdf,pdf,Synthetic Dangerous Content document,The content gives instructions to cause an explosion at home.,A safe synthetic illustration associated with the labeled policy example.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
DOC-0044,document,sample_document_0044.docx,docx,"Synthetic Graphic, Obscene & Sexual Content document",A post promotes a website selling explicit pornographic material.,No embedded image.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
DOC-0045,document,sample_document_0045.txt,txt,Synthetic Sexual Harassment document,A person sends sexually explicit messages after being asked to stop.,No embedded image.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
DOC-0046,document,sample_document_0046.pdf,pdf,Synthetic Cyberbullying & Harassment document,A person threatens to share private messages to embarrass someone.,A safe synthetic illustration associated with the labeled policy example.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
DOC-0047,document,sample_document_0047.docx,docx,Synthetic Invasion of Privacy document,A hidden-camera recording shows a person's private moment.,No embedded image.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
DOC-0048,document,sample_document_0048.txt,txt,Synthetic Illegal Activities document,A user advertises a gun for sale without a license.,No embedded image.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
DOC-0049,document,sample_document_0049.pdf,pdf,Synthetic Publishing Private Information document,A user leaks another person's private email address and phone number.,A safe synthetic illustration associated with the labeled policy example.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
DOC-0050,document,sample_document_0050.docx,docx,Synthetic Identity Theft & Impersonation document,A user operates an account using another person's stolen identity.,No embedded image.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
DOC-0051,document,sample_document_0051.txt,txt,Synthetic Misinformation & Fake News document,The post promotes a false medical claim as a confirmed cure.,No embedded image.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
DOC-0052,document,sample_document_0052.pdf,pdf,"Synthetic Spam, Scam & Phishing document",An unsolicited promotion promises guaranteed income and requests a fee.,A safe synthetic illustration associated with the labeled policy example.,"Spam, Scam & Phishing",High,Flag and send for human review,True,True,"The content contains indicators of Spam, Scam & Phishing, but the final enforcement decision requires human review.",2026.08
DOC-0053,document,sample_document_0053.docx,docx,Synthetic Intellectual Property Infringement document,A user sells unauthorized copies of copyrighted software.,No embedded image.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
DOC-0054,document,sample_document_0054.txt,txt,Synthetic Malicious Programs document,A user shares a phishing kit for stealing account credentials.,No embedded image.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
DOC-0055,document,sample_document_0055.pdf,pdf,Synthetic Abusive Words document,A user repeatedly describes another person as worthless and pathetic.,A safe synthetic illustration associated with the labeled policy example.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
DOC-0056,document,sample_document_0056.docx,docx,Synthetic Child Exploitation document,A user asks a minor to move to a private app and not tell their parents.,No embedded image.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
DOC-0057,document,sample_document_0057.txt,txt,Synthetic Normal/Ignore document,A customer asks a business about its opening hours.,No embedded image.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
DOC-0058,document,sample_document_0058.pdf,pdf,Synthetic Religiously Offensive Content document,The content celebrates damage to a place of worship.,A safe synthetic illustration associated with the labeled policy example.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
DOC-0059,document,sample_document_0059.docx,docx,Synthetic Hate Speech & Discrimination document,The content describes an ethnic group as not human.,No embedded image.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
DOC-0060,document,sample_document_0060.txt,txt,Synthetic Terrorism & Extremism document,A user provides instructions intended to support a terrorist attack.,No embedded image.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
DOC-0061,document,sample_document_0061.pdf,pdf,Synthetic Violent Content document,A user says they are going to stab a specific person.,A safe synthetic illustration associated with the labeled policy example.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
DOC-0062,document,sample_document_0062.docx,docx,Synthetic Dangerous Content document,A user encourages another person to physically harm themselves.,No embedded image.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
DOC-0063,document,sample_document_0063.txt,txt,"Synthetic Graphic, Obscene & Sexual Content document",The content contains a morphed sexual image of an adult.,No embedded image.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
DOC-0064,document,sample_document_0064.pdf,pdf,Synthetic Sexual Harassment document,The content threatens consequences unless a person agrees to sexual activity.,A safe synthetic illustration associated with the labeled policy example.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
DOC-0065,document,sample_document_0065.docx,docx,Synthetic Cyberbullying & Harassment document,A user repeatedly pressures someone to provide their phone number.,No embedded image.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
DOC-0066,document,sample_document_0066.txt,txt,Synthetic Invasion of Privacy document,A person reports that their private photograph was uploaded without consent.,No embedded image.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
DOC-0067,document,sample_document_0067.pdf,pdf,Synthetic Illegal Activities document,The content promotes an illegal foreign gambling website.,A safe synthetic illustration associated with the labeled policy example.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
DOC-0068,document,sample_document_0068.docx,docx,Synthetic Publishing Private Information document,The image contains an unredacted bank account statement.,No embedded image.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
DOC-0069,document,sample_document_0069.txt,txt,Synthetic Identity Theft & Impersonation document,The profile impersonates a public figure without a parody label.,No embedded image.,Identity Theft & Impersonation,High,Flag and send for human review,True,True,"The content contains indicators of Identity Theft & Impersonation, but the final enforcement decision requires human review.",2026.08
DOC-0070,document,sample_document_0070.pdf,pdf,Synthetic Misinformation & Fake News document,A fake election result is presented as an official announcement.,A safe synthetic illustration associated with the labeled policy example.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
DOC-0071,document,sample_document_0071.docx,docx,"Synthetic Spam, Scam & Phishing document",A repeated message tells users to click a suspicious payment link.,No embedded image.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
DOC-0072,document,sample_document_0072.txt,txt,Synthetic Intellectual Property Infringement document,The message provides an illegal download of copyrighted material.,No embedded image.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
DOC-0073,document,sample_document_0073.pdf,pdf,Synthetic Malicious Programs document,The instructions tell users to disable antivirus and install a trojan.,A safe synthetic illustration associated with the labeled policy example.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
DOC-0074,document,sample_document_0074.docx,docx,Synthetic Abusive Words document,The comment contains obfuscated abusive words directed at an individual.,No embedded image.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
DOC-0075,document,sample_document_0075.txt,txt,Synthetic Child Exploitation document,The content describes physical harm being directed at a child.,No embedded image.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
DOC-0076,document,sample_document_0076.pdf,pdf,Synthetic Normal/Ignore document,A person tells a friend: you are a winner and you are born to rule.,A safe synthetic illustration associated with the labeled policy example.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
DOC-0077,document,sample_document_0077.docx,docx,Synthetic Religiously Offensive Content document,A post tells users to burn another community's religious book.,No embedded image.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
DOC-0078,document,sample_document_0078.txt,txt,Synthetic Hate Speech & Discrimination document,A post says that a protected group is inferior.,No embedded image.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
DOC-0079,document,sample_document_0079.pdf,pdf,Synthetic Terrorism & Extremism document,A post praises a banned terrorist organization and asks users to join.,A safe synthetic illustration associated with the labeled policy example.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
DOC-0080,document,sample_document_0080.docx,docx,Synthetic Violent Content document,A person sends the direct threat: I will kill you tonight.,No embedded image.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
DOC-0081,document,sample_document_0081.txt,txt,Synthetic Dangerous Content document,The video tells viewers to try a dangerous stunt without safety equipment.,No embedded image.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
DOC-0082,document,sample_document_0082.pdf,pdf,"Synthetic Graphic, Obscene & Sexual Content document",The content contains explicit adult sexual imagery.,A safe synthetic illustration associated with the labeled policy example.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
DOC-0083,document,sample_document_0083.docx,docx,Synthetic Sexual Harassment document,A user repeatedly demands that another person send nude pictures.,No embedded image.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
DOC-0084,document,sample_document_0084.txt,txt,Synthetic Cyberbullying & Harassment document,A user repeatedly tells another person that they are worthless.,No embedded image.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
DOC-0085,document,sample_document_0085.pdf,pdf,Synthetic Invasion of Privacy document,A private video was secretly recorded and shared without consent.,A safe synthetic illustration associated with the labeled policy example.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
DOC-0086,document,sample_document_0086.docx,docx,Synthetic Illegal Activities document,A post offers illegal drugs for sale.,No embedded image.,Illegal Activities,High,Flag and send for human review,True,True,"The content contains indicators of Illegal Activities, but the final enforcement decision requires human review.",2026.08
DOC-0087,document,sample_document_0087.txt,txt,Synthetic Publishing Private Information document,A post exposes another person's Aadhaar card number without permission.,No embedded image.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
DOC-0088,document,sample_document_0088.pdf,pdf,Synthetic Identity Theft & Impersonation document,An account impersonates a bank representative to deceive customers.,A safe synthetic illustration associated with the labeled policy example.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
DOC-0089,document,sample_document_0089.docx,docx,Synthetic Misinformation & Fake News document,A fabricated report presents a made-up public event as fact.,No embedded image.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
DOC-0090,document,sample_document_0090.txt,txt,"Synthetic Spam, Scam & Phishing document",URGENT! Claim your prize now by sending your OTP on WhatsApp.,No embedded image.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
DOC-0091,document,sample_document_0091.pdf,pdf,Synthetic Intellectual Property Infringement document,A post distributes a pirated movie download without authorization.,A safe synthetic illustration associated with the labeled policy example.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
DOC-0092,document,sample_document_0092.docx,docx,Synthetic Malicious Programs document,A post provides a link to download credential-stealing malware.,No embedded image.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
DOC-0093,document,sample_document_0093.txt,txt,Synthetic Abusive Words document,A user directly tells another person: you are a disgusting idiot.,No embedded image.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
DOC-0094,document,sample_document_0094.pdf,pdf,Synthetic Child Exploitation document,An adult asks a minor to keep their private conversation secret.,A safe synthetic illustration associated with the labeled policy example.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
DOC-0095,document,sample_document_0095.docx,docx,Synthetic Normal/Ignore document,A cybersecurity lesson says never to share an OTP or password.,No embedded image.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
DOC-0096,document,sample_document_0096.txt,txt,Synthetic Religiously Offensive Content document,The message encourages people to destroy a religious symbol.,No embedded image.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
DOC-0097,document,sample_document_0097.pdf,pdf,Synthetic Hate Speech & Discrimination document,The message calls for a religious group to be excluded from society.,A safe synthetic illustration associated with the labeled policy example.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
DOC-0098,document,sample_document_0098.docx,docx,Synthetic Terrorism & Extremism document,The message requests donations for a terrorist organization.,No embedded image.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
DOC-0099,document,sample_document_0099.txt,txt,Synthetic Violent Content document,The content graphically depicts a person being tortured.,No embedded image.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
DOC-0100,document,sample_document_0100.pdf,pdf,Synthetic Dangerous Content document,A post encourages users to jump from a roof as part of a challenge.,A safe synthetic illustration associated with the labeled policy example.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
DOC-0101,document,sample_document_0101.docx,docx,"Synthetic Graphic, Obscene & Sexual Content document",The image description indicates visible genitalia outside an allowed context.,No embedded image.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
DOC-0102,document,sample_document_0102.txt,txt,Synthetic Sexual Harassment document,The message contains an unwanted request for a sexual favour.,No embedded image.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
DOC-0103,document,sample_document_0103.pdf,pdf,Synthetic Cyberbullying & Harassment document,Several accounts coordinate to publicly humiliate one individual.,A safe synthetic illustration associated with the labeled policy example.,Cyberbullying & Harassment,Medium,Flag and send for human review,True,True,"The content contains indicators of Cyberbullying & Harassment, but the final enforcement decision requires human review.",2026.08
DOC-0104,document,sample_document_0104.docx,docx,Synthetic Invasion of Privacy document,The content contains a leaked intimate video posted without consent.,No embedded image.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
DOC-0105,document,sample_document_0105.txt,txt,Synthetic Illegal Activities document,The message advertises an unapproved medicine as a guaranteed cure.,No embedded image.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
DOC-0106,document,sample_document_0106.pdf,pdf,Synthetic Publishing Private Information document,The content publishes someone's credit card number and contact details.,A safe synthetic illustration associated with the labeled policy example.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
DOC-0107,document,sample_document_0107.docx,docx,Synthetic Identity Theft & Impersonation document,A fake customer-support profile pretends to represent a company.,No embedded image.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
DOC-0108,document,sample_document_0108.txt,txt,Synthetic Misinformation & Fake News document,A manipulated headline makes a claim unsupported by the article.,No embedded image.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
