id,content_type,file_name,duration_seconds,transcript,frame_descriptions,ocr_text,audio_description,category,severity,action,human_review_required,grey_case,reason,policy_version
VID-0019,video,sample_video_0019.mp4,136,A user shares a photograph of a meal with friends.,Sampled frames contain a safe synthetic description associated with the Normal/Ignore policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
VID-0020,video,sample_video_0020.mp4,143,The message encourages people to destroy a religious symbol.,Sampled frames contain a safe synthetic description associated with the Religiously Offensive Content policy category.,The message encourages people to destroy a religious symbol.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
VID-0021,video,sample_video_0021.mp4,150,The message calls for a religious group to be excluded from society.,Sampled frames contain a safe synthetic description associated with the Hate Speech & Discrimination policy category.,The message calls for a religious group to be excluded from society.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
VID-0022,video,sample_video_0022.mp4,157,The message requests donations for a terrorist organization.,Sampled frames contain a safe synthetic description associated with the Terrorism & Extremism policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
VID-0023,video,sample_video_0023.mp4,164,The content graphically depicts a person being tortured.,Sampled frames contain a safe synthetic description associated with the Violent Content policy category.,The content graphically depicts a person being tortured.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
VID-0024,video,sample_video_0024.mp4,171,A post encourages users to jump from a roof as part of a challenge.,Sampled frames contain a safe synthetic description associated with the Dangerous Content policy category.,A post encourages users to jump from a roof as part of a challenge.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
VID-0025,video,sample_video_0025.mp4,178,The image description indicates visible genitalia outside an allowed context.,"Sampled frames contain a safe synthetic description associated with the Graphic, Obscene & Sexual Content policy category.",,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
VID-0026,video,sample_video_0026.mp4,14,The message contains an unwanted request for a sexual favour.,Sampled frames contain a safe synthetic description associated with the Sexual Harassment policy category.,The message contains an unwanted request for a sexual favour.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
VID-0027,video,sample_video_0027.mp4,21,Several accounts coordinate to publicly humiliate one individual.,Sampled frames contain a safe synthetic description associated with the Cyberbullying & Harassment policy category.,Several accounts coordinate to publicly humiliate one individual.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
VID-0028,video,sample_video_0028.mp4,28,The content contains a leaked intimate video posted without consent.,Sampled frames contain a safe synthetic description associated with the Invasion of Privacy policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
VID-0029,video,sample_video_0029.mp4,35,The message advertises an unapproved medicine as a guaranteed cure.,Sampled frames contain a safe synthetic description associated with the Illegal Activities policy category.,The message advertises an unapproved medicine as a guaranteed cure.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
VID-0030,video,sample_video_0030.mp4,42,The content publishes someone's credit card number and contact details.,Sampled frames contain a safe synthetic description associated with the Publishing Private Information policy category.,The content publishes someone's credit card number and contact details.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
VID-0031,video,sample_video_0031.mp4,49,A fake customer-support profile pretends to represent a company.,Sampled frames contain a safe synthetic description associated with the Identity Theft & Impersonation policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
VID-0032,video,sample_video_0032.mp4,56,A manipulated headline makes a claim unsupported by the article.,Sampled frames contain a safe synthetic description associated with the Misinformation & Fake News policy category.,A manipulated headline makes a claim unsupported by the article.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
VID-0033,video,sample_video_0033.mp4,63,A fake banking message asks the recipient to share their password.,"Sampled frames contain a safe synthetic description associated with the Spam, Scam & Phishing policy category.",A fake banking message asks the recipient to share their password.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
VID-0034,video,sample_video_0034.mp4,70,The content offers counterfeit products using a protected trademark.,Sampled frames contain a safe synthetic description associated with the Intellectual Property Infringement policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
VID-0035,video,sample_video_0035.mp4,77,The content distributes a ransomware payload intended to compromise devices.,Sampled frames contain a safe synthetic description associated with the Malicious Programs policy category.,The content distributes a ransomware payload intended to compromise devices.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Malicious Programs,Critical,Flag and send for human review,True,True,"The content contains indicators of Malicious Programs, but the final enforcement decision requires human review.",2026.08
VID-0036,video,sample_video_0036.mp4,84,The message calls a targeted person a stupid loser and piece of trash.,Sampled frames contain a safe synthetic description associated with the Abusive Words policy category.,The message calls a targeted person a stupid loser and piece of trash.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
VID-0037,video,sample_video_0037.mp4,91,An account asks a child to send private personal images.,Sampled frames contain a safe synthetic description associated with the Child Exploitation policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
VID-0038,video,sample_video_0038.mp4,98,A teacher posts an ordinary classroom announcement.,Sampled frames contain a safe synthetic description associated with the Normal/Ignore policy category.,A teacher posts an ordinary classroom announcement.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
VID-0039,video,sample_video_0039.mp4,105,A user posts denigrating abuse directed at a religious prophet.,Sampled frames contain a safe synthetic description associated with the Religiously Offensive Content policy category.,A user posts denigrating abuse directed at a religious prophet.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
VID-0040,video,sample_video_0040.mp4,112,A user attacks people because of their race and nationality.,Sampled frames contain a safe synthetic description associated with the Hate Speech & Discrimination policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
VID-0041,video,sample_video_0041.mp4,119,The content distributes extremist recruitment propaganda.,Sampled frames contain a safe synthetic description associated with the Terrorism & Extremism policy category.,The content distributes extremist recruitment propaganda.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
VID-0042,video,sample_video_0042.mp4,126,The image description contains visible internal organs after an attack.,Sampled frames contain a safe synthetic description associated with the Violent Content policy category.,The image description contains visible internal organs after an attack.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
VID-0043,video,sample_video_0043.mp4,133,The content gives instructions to cause an explosion at home.,Sampled frames contain a safe synthetic description associated with the Dangerous Content policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
VID-0044,video,sample_video_0044.mp4,140,A post promotes a website selling explicit pornographic material.,"Sampled frames contain a safe synthetic description associated with the Graphic, Obscene & Sexual Content policy category.",A post promotes a website selling explicit pornographic material.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
VID-0045,video,sample_video_0045.mp4,147,A person sends sexually explicit messages after being asked to stop.,Sampled frames contain a safe synthetic description associated with the Sexual Harassment policy category.,A person sends sexually explicit messages after being asked to stop.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
VID-0046,video,sample_video_0046.mp4,154,A person threatens to share private messages to embarrass someone.,Sampled frames contain a safe synthetic description associated with the Cyberbullying & Harassment policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
VID-0047,video,sample_video_0047.mp4,161,A hidden-camera recording shows a person's private moment.,Sampled frames contain a safe synthetic description associated with the Invasion of Privacy policy category.,A hidden-camera recording shows a person's private moment.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
VID-0048,video,sample_video_0048.mp4,168,A user advertises a gun for sale without a license.,Sampled frames contain a safe synthetic description associated with the Illegal Activities policy category.,A user advertises a gun for sale without a license.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
VID-0049,video,sample_video_0049.mp4,175,A user leaks another person's private email address and phone number.,Sampled frames contain a safe synthetic description associated with the Publishing Private Information policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
VID-0050,video,sample_video_0050.mp4,11,A user operates an account using another person's stolen identity.,Sampled frames contain a safe synthetic description associated with the Identity Theft & Impersonation policy category.,A user operates an account using another person's stolen identity.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
VID-0051,video,sample_video_0051.mp4,18,The post promotes a false medical claim as a confirmed cure.,Sampled frames contain a safe synthetic description associated with the Misinformation & Fake News policy category.,The post promotes a false medical claim as a confirmed cure.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
VID-0052,video,sample_video_0052.mp4,25,An unsolicited promotion promises guaranteed income and requests a fee.,"Sampled frames contain a safe synthetic description associated with the Spam, Scam & Phishing policy category.",,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Spam, Scam & Phishing",High,Flag and send for human review,True,True,"The content contains indicators of Spam, Scam & Phishing, but the final enforcement decision requires human review.",2026.08
VID-0053,video,sample_video_0053.mp4,32,A user sells unauthorized copies of copyrighted software.,Sampled frames contain a safe synthetic description associated with the Intellectual Property Infringement policy category.,A user sells unauthorized copies of copyrighted software.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
VID-0054,video,sample_video_0054.mp4,39,A user shares a phishing kit for stealing account credentials.,Sampled frames contain a safe synthetic description associated with the Malicious Programs policy category.,A user shares a phishing kit for stealing account credentials.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
VID-0055,video,sample_video_0055.mp4,46,A user repeatedly describes another person as worthless and pathetic.,Sampled frames contain a safe synthetic description associated with the Abusive Words policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
VID-0056,video,sample_video_0056.mp4,53,A user asks a minor to move to a private app and not tell their parents.,Sampled frames contain a safe synthetic description associated with the Child Exploitation policy category.,A user asks a minor to move to a private app and not tell their parents.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
VID-0057,video,sample_video_0057.mp4,60,A customer asks a business about its opening hours.,Sampled frames contain a safe synthetic description associated with the Normal/Ignore policy category.,A customer asks a business about its opening hours.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
VID-0058,video,sample_video_0058.mp4,67,The content celebrates damage to a place of worship.,Sampled frames contain a safe synthetic description associated with the Religiously Offensive Content policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
VID-0059,video,sample_video_0059.mp4,74,The content describes an ethnic group as not human.,Sampled frames contain a safe synthetic description associated with the Hate Speech & Discrimination policy category.,The content describes an ethnic group as not human.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
VID-0060,video,sample_video_0060.mp4,81,A user provides instructions intended to support a terrorist attack.,Sampled frames contain a safe synthetic description associated with the Terrorism & Extremism policy category.,A user provides instructions intended to support a terrorist attack.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
VID-0061,video,sample_video_0061.mp4,88,A user says they are going to stab a specific person.,Sampled frames contain a safe synthetic description associated with the Violent Content policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
VID-0062,video,sample_video_0062.mp4,95,A user encourages another person to physically harm themselves.,Sampled frames contain a safe synthetic description associated with the Dangerous Content policy category.,A user encourages another person to physically harm themselves.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
VID-0063,video,sample_video_0063.mp4,102,The content contains a morphed sexual image of an adult.,"Sampled frames contain a safe synthetic description associated with the Graphic, Obscene & Sexual Content policy category.",The content contains a morphed sexual image of an adult.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
VID-0064,video,sample_video_0064.mp4,109,The content threatens consequences unless a person agrees to sexual activity.,Sampled frames contain a safe synthetic description associated with the Sexual Harassment policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
VID-0065,video,sample_video_0065.mp4,116,A user repeatedly pressures someone to provide their phone number.,Sampled frames contain a safe synthetic description associated with the Cyberbullying & Harassment policy category.,A user repeatedly pressures someone to provide their phone number.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
VID-0066,video,sample_video_0066.mp4,123,A person reports that their private photograph was uploaded without consent.,Sampled frames contain a safe synthetic description associated with the Invasion of Privacy policy category.,A person reports that their private photograph was uploaded without consent.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
VID-0067,video,sample_video_0067.mp4,130,The content promotes an illegal foreign gambling website.,Sampled frames contain a safe synthetic description associated with the Illegal Activities policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
VID-0068,video,sample_video_0068.mp4,137,The image contains an unredacted bank account statement.,Sampled frames contain a safe synthetic description associated with the Publishing Private Information policy category.,The image contains an unredacted bank account statement.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
VID-0069,video,sample_video_0069.mp4,144,The profile impersonates a public figure without a parody label.,Sampled frames contain a safe synthetic description associated with the Identity Theft & Impersonation policy category.,The profile impersonates a public figure without a parody label.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Identity Theft & Impersonation,High,Flag and send for human review,True,True,"The content contains indicators of Identity Theft & Impersonation, but the final enforcement decision requires human review.",2026.08
VID-0070,video,sample_video_0070.mp4,151,A fake election result is presented as an official announcement.,Sampled frames contain a safe synthetic description associated with the Misinformation & Fake News policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
VID-0071,video,sample_video_0071.mp4,158,A repeated message tells users to click a suspicious payment link.,"Sampled frames contain a safe synthetic description associated with the Spam, Scam & Phishing policy category.",A repeated message tells users to click a suspicious payment link.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
VID-0072,video,sample_video_0072.mp4,165,The message provides an illegal download of copyrighted material.,Sampled frames contain a safe synthetic description associated with the Intellectual Property Infringement policy category.,The message provides an illegal download of copyrighted material.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
VID-0073,video,sample_video_0073.mp4,172,The instructions tell users to disable antivirus and install a trojan.,Sampled frames contain a safe synthetic description associated with the Malicious Programs policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
VID-0074,video,sample_video_0074.mp4,179,The comment contains obfuscated abusive words directed at an individual.,Sampled frames contain a safe synthetic description associated with the Abusive Words policy category.,The comment contains obfuscated abusive words directed at an individual.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
VID-0075,video,sample_video_0075.mp4,15,The content describes physical harm being directed at a child.,Sampled frames contain a safe synthetic description associated with the Child Exploitation policy category.,The content describes physical harm being directed at a child.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
VID-0076,video,sample_video_0076.mp4,22,A person tells a friend: you are a winner and you are born to rule.,Sampled frames contain a safe synthetic description associated with the Normal/Ignore policy category.,,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
VID-0077,video,sample_video_0077.mp4,29,A post tells users to burn another community's religious book.,Sampled frames contain a safe synthetic description associated with the Religiously Offensive Content policy category.,A post tells users to burn another community's religious book.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
VID-0078,video,sample_video_0078.mp4,36,A post says that a protected group is inferior.,Sampled frames contain a safe synthetic description associated with the Hate Speech & Discrimination policy category.,A post says that a protected group is inferior.,Synthetic speech and ordinary background audio. No raw harmful media is stored in the dataset.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
