language,phrase,normalized_phrase,weight,source_page
assamese,অনলাইনত টকা উপা,অনলাইনত টকা উপা,1.25,9
assamese,অনলাইনত তুলনা ক,অনলাইনত তুলনা ক,1.25,3
assamese,অনসুৰণ কৰা,অনসুৰণ কৰা,1.0,5
assamese,অনেুৰাধ,অনেুৰাধ,1.0,13
assamese,অফাৰ,অফাৰ,1.0,10
assamese,অফাৰ িদেয়,অফাৰ িদেয়,1.0,11
assamese,অিবহেন জীয়াই থািক,অিবহেন জীয়াই থািক,1.25,2
assamese,অেলৗিকক ঘটনা,অেলৗিকক ঘটনা,1.0,9
assamese,আঁচিন,আঁচিন,1.0,13
assamese,আঁতিৰ আিহল,আঁতিৰ আিহল,1.0,11
assamese,আঁতেৰাৱা,আঁতেৰাৱা,1.0,12
assamese,আইনী জাননী,আইনী জাননী,1.0,8
assamese,আচিৰত অফাৰ,আচিৰত অফাৰ,1.0,1
assamese,আচিৰত হ’ব,আচিৰত হ’ব,1.0,2
assamese,আজীৱন,আজীৱন,1.0,8
assamese,আথামকােৰত হপাতািরত? এিমিন,আথামকােৰত হপাতািরত? এিমিন,1.25,2
assamese,আপুিন অনেুৰাধ কৰা,আপুিন অনেুৰাধ কৰা,1.25,7
assamese,আপুিন এজন িবজয়ী,আপুিন এজন িবজয়ী,1.25,16
assamese,আপুিন এজন িবজয়ী!,আপুিন এজন িবজয়ী!,1.25,16
assamese,আপুিন ভাগিৰ পিৰেছ,আপুিন ভাগিৰ পিৰেছ,1.25,1
assamese,আমাৰ ডলাৰ,আমাৰ ডলাৰ,1.0,15
assamese,আশৰামজী,আশৰামজী,1.0,1
assamese,আিজ অনেুৰাধ কৰক,আিজ অনেুৰাধ কৰক,1.25,13
assamese,আিজেয়ই কৰক,আিজেয়ই কৰক,1.0,4
assamese,আিজেয়ই চাইনআপ ি,আিজেয়ই চাইনআপ ি,1.25,14
assamese,আিজেয়ই পাওক,আিজেয়ই পাওক,1.0,6
assamese,আিজেয়ই িকিন লওক,আিজেয়ই িকিন লওক,1.25,2
assamese,আিজেয়ই িবনামলূীয়া,আিজেয়ই িবনামলূীয়া,1.0,14
assamese,আেপানাক নাকচ কৰ,আেপানাক নাকচ কৰ,1.25,7
assamese,আেপানাৰ আয়,আেপানাৰ আয়,1.0,16
assamese,আেপানাৰ ঋণ আদায়,আেপানাৰ ঋণ আদায়,1.25,12
assamese,আেপানাৰ ঋণ িনিমষ,আেপানাৰ ঋণ িনিমষ,1.25,12
assamese,আেপানাৰ টকািখিন ল,আেপানাৰ টকািখিন ল,1.25,6
assamese,আেপানাৰ নগদ ধন দ,আেপানাৰ নগদ ধন দ,1.25,4
assamese,আেপানাৰ বােব,আেপানাৰ বােব,1.0,6
assamese,আেপানাৰ বােব িবেশ,আেপানাৰ বােব িবেশ,1.25,14
assamese,আেপানাৰ সুতৰ হাৰ,আেপানাৰ সুতৰ হাৰ,1.25,12
assamese,আেপানাৰ িবল পিৰেশ,আেপানাৰ িবল পিৰেশ,1.25,11
assamese,ইউেৰা,ইউেৰা,1.0,5
assamese,ইয়াত আেবদন কৰক,ইয়াত আেবদন কৰক,1.25,1
assamese,ইয়াত িকছুমান উদাহ,ইয়াত িকছুমান উদাহ,1.25,7
assamese,ইেথিৰয়াম,ইেথিৰয়াম,1.0,5
assamese,ইেমইল চেপাৱা,ইেমইল চেপাৱা,1.0,5
assamese,উধৰ,উধৰ,1.0,15
assamese,উপকাৰী অফাৰ,উপকাৰী অফাৰ,1.0,2
assamese,উপচাৰ,উপচাৰ,1.0,15
assamese,উিলওৱা,উিলওৱা,1.0,16
assamese,উৎপাদন কিৰ বািহৰ,উৎপাদন কিৰ বািহৰ,1.25,12
assamese,ঋণ,ঋণ,1.0,8
assamese,ঋণ অনেুমািদত,ঋণ অনেুমািদত,1.0,8
assamese,ঋণৰ পৰা ওলাই যাও,ঋণৰ পৰা ওলাই যাও,1.25,6
assamese,এই তািলকাৰ পৰা আ,এই তািলকাৰ পৰা আ,1.25,15
assamese,এইিবষেয়,এইিবষেয়,1.0,12
assamese,এইেটা জাংক নহয়,এইেটা জাংক নহয়,1.25,15
assamese,এইেটাক জাংক নহয়,এইেটাক জাংক নহয়,1.25,9
assamese,এককসকলক লগ পায়,এককসকলক লগ পায়,1.25,9
assamese,এপ,এপ,1.0,1
assamese,এপসমহূ,এপসমহূ,1.0,1
assamese,এবাৰৈল,এবাৰৈল,1.0,11
assamese,এশ শতাংশ,এশ শতাংশ,1.0,11
assamese,এিতয়া তুলনা কৰক,এিতয়া তুলনা কৰক,1.25,3
assamese,এিতয়া পাওক,এিতয়া পাওক,1.0,6
assamese,এিতয়া বািতল কৰক,এিতয়া বািতল কৰক,1.25,3
assamese,এিতয়াই অনেুৰাধ কৰ,এিতয়াই অনেুৰাধ কৰ,1.25,13
assamese,এিতয়াই আেবদন কৰ,এিতয়াই আেবদন কৰ,1.25,1
assamese,এিতয়াই ঋণৰ পৰা ও,এিতয়াই ঋণৰ পৰা ও,1.25,6
assamese,এিতয়াই কাম কৰক,এিতয়াই কাম কৰক,1.25,1
assamese,এিতয়াই কাম কৰক!,এিতয়াই কাম কৰক!,1.25,1
assamese,এিতয়াই কৰক,এিতয়াই কৰক,1.0,4
assamese,এিতয়াই পাওক,এিতয়াই পাওক,1.0,6
assamese,এিতয়াই িকিন লওক,এিতয়াই িকিন লওক,1.25,2
assamese,ওজন কমাব লােগ,ওজন কমাব লােগ,1.25,9
assamese,ওেলাটা হয়,ওেলাটা হয়,1.0,13
assamese,ক'ড,ক'ড,1.0,3
assamese,কবীৰ,কবীৰ,1.0,8
assamese,কম দাম,কম দাম,1.0,9
assamese,কম সুত,কম সুত,1.0,9
assamese,কম সুতৰ হাৰ,কম সুতৰ হাৰ,1.25,9
assamese,কম হাৰত,কম হাৰত,1.0,9
assamese,কামনা,কামনা,1.0,8
assamese,কামাও,কামাও,1.0,8
assamese,কামােন,কামােন,1.0,8
assamese,কিপ িডিভিড,কিপ িডিভিড,1.0,3
assamese,কিবানামলূীয়া কল,কিবানামলূীয়া কল,1.0,6
assamese,কিম অহা সুত,কিম অহা সুত,1.25,5
assamese,খজনমনা করা,খজনমনা করা,1.0,4
assamese,খাটা,খাটা,1.0,8
assamese,খােত,খােত,1.0,8
assamese,খিলুজঁংিকছ,খিলুজঁংিকছ,1.0,8
assamese,খৰচ,খৰচ,1.0,4
assamese,গণ ইেমইল,গণ ইেমইল,1.0,9
assamese,গহীন,গহীন,1.0,13
assamese,ঘৰত টকা,ঘৰত টকা,1.0,9
assamese,ঘৰেত কাম কৰা,ঘৰেত কাম কৰা,1.25,16
assamese,ঘৰৰ পৰা কাম কৰা,ঘৰৰ পৰা কাম কৰা,1.25,16
assamese,ঘৰৱুা িনেয়াগ,ঘৰৱুা িনেয়াগ,1.0,7
assamese,চাইনআপ কৰক,চাইনআপ কৰক,1.0,14
assamese,ছ’িচেয়ল িমিডয়াত উ,ছ’িচেয়ল িমিডয়াত উ,1.25,14
assamese,জয়,জয়,1.0,16
assamese,জাংক নহয়,জাংক নহয়,1.0,10
assamese,জীৱন বীমা,জীৱন বীমা,1.0,8
assamese,জীৱনত এবাৰ,জীৱনত এবাৰ,1.0,11
assamese,টকা,টকা,1.0,2
assamese,টকা ঘূৰাই িদয়া,টকা ঘূৰাই িদয়া,1.25,9
assamese,টকা পাব,টকা পাব,1.0,6
assamese,টকা ৰািহ কৰক,টকা ৰািহ কৰক,1.25,13
assamese,টকা 💰,টকা 💰,1.0,9
assamese,ডাউনল’ড,ডাউনল’ড,1.0,4
assamese,ডাঙৰ কৰা,ডাঙৰ কৰা,1.0,5
assamese,ডাঙৰ জয়,ডাঙৰ জয়,1.0,16
assamese,ডাঙৰ টকা,ডাঙৰ টকা,1.0,2
assamese,ডাঙৰ টকা ৰািহ কৰ,ডাঙৰ টকা ৰািহ কৰ,1.25,13
assamese,ডাঙৰ ৰািহ কৰক,ডাঙৰ ৰািহ কৰক,1.25,13
assamese,তআা!িম আইনী,তআা!িম আইনী,1.0,15
assamese,তএিতয়াই বজাৰ কৰক,তএিতয়াই বজাৰ কৰক,1.25,13
assamese,তজাীৱন-যাপনৰ ধৰণ,তজাীৱন-যাপনৰ ধৰণ,1.0,15
assamese,ততািলেক,ততািলেক,1.0,7
assamese,তুিম এজন িবজয়ী,তুিম এজন িবজয়ী,1.25,16
assamese,দদািাববী কৰা,দদািাববী কৰা,1.0,3
assamese,দবুাৰ পঢ়ক,দবুাৰ পঢ়ক,1.0,12
assamese,দাবী,দাবী,1.0,3
assamese,দৰদাম কৰা,দৰদাম কৰা,1.0,2
assamese,দৰমহা পাব,দৰমহা পাব,1.0,6
assamese,দৰৱ,দৰৱ,1.0,9
assamese,ধন,ধন,1.0,4
assamese,ধন উভেতাৱা,ধন উভেতাৱা,1.0,12
assamese,ধন ঘটাৰ কাম,ধন ঘটাৰ কাম,1.25,10
assamese,ধনী,ধনী,1.0,13
assamese,ধাৰা ৩০১,ধাৰা ৩০১,1.0,13
assamese,নঅেটা ইেমইল আঁতেৰা,নঅেটা ইেমইল আঁতেৰা,1.25,1
assamese,নগদ,নগদ,1.0,3
assamese,নগদ ধনৰ অধীনত,নগদ ধনৰ অধীনত,1.25,14
assamese,নগদিবহীন,নগদিবহীন,1.0,3
assamese,নডলাৰ,নডলাৰ,1.0,4
assamese,নপুংসকতা,নপুংসকতা,1.0,7
assamese,নমনুা,নমনুা,1.0,13
assamese,নাক কটাব,নাক কটাব,1.0,14
assamese,পইছা,পইছা,1.0,11
assamese,পিৰমাণ,পিৰমাণ,1.0,1
assamese,পিৰমাণ সীিমত,পিৰমাণ সীিমত,1.0,12
assamese,পিৰেশািধত,পিৰেশািধত,1.0,11
assamese,ফmকlm,ফmকlm,1.0,9
assamese,বাইনাৰী,বাইনাৰী,1.0,2
assamese,বাকী থকা ধনৰািশ,বাকী থকা ধনৰািশ,1.25,11
assamese,বাপু,বাপু,1.0,2
assamese,বািতল কৰক,বািতল কৰক,1.0,2
assamese,বিলেৰখা আঁতৰায়,বিলেৰখা আঁতৰায়,1.0,13
assamese,বিশকৰণ,বিশকৰণ,1.0,15
assamese,বীমা,বীমা,1.0,8
assamese,বীমা ওজন কমাব,বীমা ওজন কমাব,1.25,8
assamese,ভাউচাৰ,ভাউচাৰ,1.0,15
assamese,ভাল বা সচঁা বিুল ক,ভাল বা সচঁা বিুল ক,1.25,3
assamese,মহান,মহান,1.0,7
assamese,মহাৰাজ,মহাৰাজ,1.0,9
assamese,মানংক,মানংক,1.0,13
assamese,য়িকবনালামলূীয়া অফাৰ,য়িকবনালামলূীয়া অফাৰ,1.0,6
assamese,রআেপানাৰ ঘৰেটা পুন,রআেপানাৰ ঘৰেটা পুন,1.25,12
assamese,রইেমািজ,রইেমািজ,1.0,5
assamese,রচাইন ইন কৰক,রচাইন ইন কৰক,1.25,14
assamese,রসীিমত সময়,রসীিমত সময়,1.0,8
assamese,রিববাহ,রিববাহ,1.0,9
assamese,লএীইেটা দবুাৰ পঢ়ক,লএীইেটা দবুাৰ পঢ়ক,1.25,12
assamese,লকু াই থকা,লকু াই থকা,1.25,7
assamese,লকু াই থকা অিভেযাগ,লকু াই থকা অিভেযাগ,1.25,7
assamese,লকু াই থকা খৰচ,লকু াই থকা খৰচ,1.25,7
assamese,লকু াই থকা মাচুল,লকু াই থকা মাচুল,1.25,7
assamese,লটাৰী,লটাৰী,1.0,9
assamese,লাখ লাখ,লাখ লাখ,1.0,9
assamese,লাখ লাখ আেমিৰকান,লাখ লাখ আেমিৰকান,1.25,8
assamese,লাভ কৰা,লাভ কৰা,1.0,9
assamese,সকেলা নতুন,সকেলা নতুন,1.0,1
assamese,সকেলােৱ কিৰব পােৰ,সকেলােৱ কিৰব পােৰ,1.25,5
assamese,সফলতা,সফলতা,1.0,14
assamese,সময় সীিমত,সময় সীিমত,1.0,15
assamese,সময়-সীিমত,সময়-সীিমত,1.0,15
assamese,সহজ আয়,সহজ আয়,1.0,5
assamese,সিবেশষ,সিবেশষ,1.0,4
assamese,সীমাহীন,সীমাহীন,1.0,15
assamese,সীমাহীন িবচাৰ,সীমাহীন িবচাৰ,1.0,15
assamese,সীিমত অফাৰ,সীিমত অফাৰ,1.0,8
assamese,সীিমত পিৰমাণৰ,সীিমত পিৰমাণৰ,1.0,8
assamese,সীিমত সময়েহ,সীিমত সময়েহ,1.0,8
assamese,সীিমত সময়ৰ অফাৰ,সীিমত সময়ৰ অফাৰ,1.25,8
assamese,সুতৰ হাৰ কম,সুতৰ হাৰ কম,1.25,9
assamese,সুেযাগ,সুেযাগ,1.0,11
assamese,সৎসংগ,সৎসংগ,1.0,13
assamese,হাজাৰ হাজাৰ,হাজাৰ হাজাৰ,1.0,15
assamese,হাৰ,হাৰ,1.0,12
assamese,হাৰ তুলনা কৰক,হাৰ তুলনা কৰক,1.25,3
assamese,ািরবণনামলূীয়াৈক,ািরবণনামলূীয়াৈক,1.0,1
assamese,িকংিক,িকংিক,1.0,8
assamese,িকনা,িকনা,1.0,2
assamese,িজিকিছল,িজিকিছল,1.0,16
assamese,িদ িদ,িদ িদ,1.0,6
assamese,িদ িদয়ক,িদ িদয়ক,1.0,6
assamese,িদনেটাত পইচা,িদনেটাত পইচা,1.0,11
assamese,িনজৰ বছ,িনজৰ বছ,1.0,11
assamese,িনজৰ বছ হওক,িনজৰ বছ হওক,1.25,2
assamese,িনদাগ তীখা,িনদাগ তীখা,1.0,14
assamese,িনযুত,িনযুত,1.0,9
assamese,িনিমষেত,িনিমষেত,1.0,8
assamese,িনিমষেত ওজন কমা,িনিমষেত ওজন কমা,1.25,9
assamese,িনেচই সৰহ ভাগ,িনেচই সৰহ ভাগ,1.25,9
assamese,িনেজই চাওক,িনেজই চাওক,1.0,13
assamese,িনৰাময় কেৰ,িনৰাময় কেৰ,1.0,4
assamese,িবজয়ী,িবজয়ী,1.0,16
assamese,িবটকইন,িবটকইন,1.0,2
assamese,িবটকইনৰ বােব উপহ,িবটকইনৰ বােব উপহ,1.25,6
assamese,িবটকন,িবটকন,1.0,2
assamese,িবনামলূীয়া অনদুানৰ,িবনামলূীয়া অনদুানৰ,1.0,6
assamese,িবনামলূীয়া আৰ ুিবন,িবনামলূীয়া আৰ ুিবন,1.25,6
assamese,িবনামলূীয়া উপহাৰ,িবনামলূীয়া উপহাৰ,1.0,6
assamese,িবনামলূীয়া ধন,িবনামলূীয়া ধন,1.0,6
assamese,িবনামলূীয়া নগদ ধন,িবনামলূীয়া নগদ ধন,1.25,6
assamese,িবনামলূীয়া নমনুা,িবনামলূীয়া নমনুা,1.0,6
assamese,িবনামলূীয়া িবিনেয়াগ,িবনামলূীয়া িবিনেয়াগ,1.0,6
assamese,িবনামলূীয়া িলড,িবনামলূীয়া িলড,1.0,6
assamese,িবনামলূীয়া!,িবনামলূীয়া!,1.0,6
assamese,িবনামলূীয়াৈক আগব,িবনামলূীয়াৈক আগব,1.0,11
assamese,িবপণন,িবপণন,1.0,9
assamese,িবপণন সজঁিুল,িবপণন সজঁিুল,1.0,9
assamese,িবপণন সফলতা,িবপণন সফলতা,1.0,9
assamese,িবপণন সমাধান,িবপণন সমাধান,1.0,9
assamese,িবপৰীত,িবপৰীত,1.0,13
assamese,িবল,িবল,1.0,2
assamese,িবল পিৰেশাধ কিৰব,িবল পিৰেশাধ কিৰব,1.25,2
assamese,িবলাসী গাড়ী,িবলাসী গাড়ী,1.0,9
assamese,িবিনেয়াগ,িবিনেয়াগ,1.0,8
assamese,িবিনেয়াগ এপ,িবিনেয়াগ এপ,1.0,8
assamese,িবিনেয়াগ কৰা,িবিনেয়াগ কৰা,1.0,8
assamese,িবিলং,িবিলং,1.0,2
assamese,িবিলয়ন ডলাৰ,িবিলয়ন ডলাৰ,1.0,2
assamese,িবিলয়ন িবিলয়ন,িবিলয়ন িবিলয়ন,1.0,2
assamese,িবিলয়নাৰ,িবিলয়নাৰ,1.0,2
assamese,িবেশষ অফাৰ,িবেশষ অফাৰ,1.0,14
assamese,িভছা,িভছা,1.0,15
assamese,িভেকািডন,িভেকািডন,1.0,15
assamese,িমিলয়ন ডলাৰ,িমিলয়ন ডলাৰ,1.0,9
assamese,িিরবনামলূীয়া,িিরবনামলূীয়া,1.0,5
assamese,েবनএনিकত নाয়!াা!ই কাম কৰক!,েবनএনিकত নाয়!াা!ই কাম কৰক!,1.25,1
assamese,েসয়ীরিমত,েসয়ীরিমত,1.0,8
assamese,০ তলৈল,০ তলৈল,1.0,1
assamese,১িবিনেয়াগকাৰী,১িবিনেয়াগকাৰী,1.0,1
assamese,১০০% টকা ঘূৰাই িদ,১০০% টকা ঘূৰাই িদ,1.25,1
assamese,১০০% িবনামলূীয়া,১০০% িবনামলূীয়া,1.0,1
assamese,ৰ অধীনত,ৰ অধীনত,1.0,14
assamese,ৰািশ,ৰািশ,1.0,12
assamese,€ ৰ ওপৰত দান কৰ,€ ৰ ওপৰত দান কৰ,1.25,4
assamese,€ ৰািহ কৰক,€ ৰািহ কৰক,1.25,13
bengali,0 িনেচ,0 িনেচ,1.0,1
bengali,0% ঝুঁিক,0% ঝুঁিক,1.0,1
bengali,0.99,0.99,1.0,1
bengali,0.999,0.999,1.0,1
bengali,1 িবিনেয়াগকারী,1 িবিনেয়াগকারী,1.0,1
bengali,100%,100%,1.0,1
bengali,100% ছাড়,100% ছাড়,1.0,1
bengali,1nvest0r,1nvest0r,1.0,1
bengali,50,50,1.0,1
bengali,amazon,amazon,1.0,1
bengali,b1tc0in,b1tc0in,1.0,2
bengali,binance,binance,1.0,2
bengali,bitc0in,bitc0in,1.0,2
bengali,cashcashcash,cashcashcash,1.0,3
bengali,cialis,cialis,1.0,3
bengali,dm,dm,1.0,4
bengali,eth3rium,eth3rium,1.0,5
bengali,flipkart,flipkart,1.0,5
bengali,kamaane,kamaane,1.0,8
bengali,rekoo,rekoo,1.0,12
bengali,sar tan se,sar tan se,1.25,13
bengali,SEO,seo,1.0,13
bengali,udhar,udhar,1.0,14
bengali,wa.me,wa.me,1.0,15
bengali,xो?anax,xो?anax,1.0,15
bengali,ऑজफামरানত হার,ऑজफামरানত হার,1.0,9
bengali,कলरটाাির,कলरটाাির,1.0,8
bengali,टইाেकমইाল,टইाেकমইाল,1.0,5
bengali,णএখेন ডােকা!,णএখेন ডােকা!,1.0,2
bengali,तএখीचনा দदাाিवবा करा!,तএখीचনा দदাाিवবा करा!,1.25,3
bengali,तটাইমেশয়ার অফার,तটাইমেশয়ার অফার,1.0,14
bengali,दআेऊ মशােकদরत ोক कলा?,दআेऊ মशােकদরत ोক कলा?,1.25,2
bengali,दদावািবा करा,दদावািবा करा,1.0,3
bengali,नএावখेনই িকননু,नএावখेনই িকননু,1.0,12
bengali,नবाািড়েত কাজ,नবाািড়েত কাজ,1.0,15
bengali,नভंबাरলবাসা খুজঁিছ,नভंबাरলবাসা খুজঁিছ,1.0,8
bengali,रিবলািসতা গাড়ী,रিবলািসতা গাড়ী,1.0,9
bengali,वিाবপণন সমাধান,वিाবপণন সমাধান,1.0,9
bengali,सএंधকीবার,सএंधকीবার,1.0,10
bengali,ाSEO টুলস,ाseo টুলস,1.0,13
bengali,ाঅदनযািচত,ाঅदनযািচত,1.0,15
bengali,ाসহজ আয়,ाসহজ আয়,1.0,5
bengali,ीঅনলাইন কাজ,ीঅনলাইন কাজ,1.0,11
bengali,े?xxx,े?xxx,1.0,15
bengali,े?জয়,े?জয়,1.0,15
bengali,ेআসল িজিনস,ेআসল িজিনস,1.0,12
bengali,ोব आড় हজेसয়,ोব आড় हজेसয়,1.25,15
bengali,ोবणীমेা,ोবणীমेা,1.0,7
bengali,ोি বआজहয়ेसী?,ोি বआজहয়ेसী?,1.0,15
bengali,অনলাইন,অনলাইন,1.0,11
bengali,অনলাইন আয়,অনলাইন আয়,1.0,11
bengali,অনলাইন িবজ সুেযাগ,অনলাইন িবজ সুেযাগ,1.25,11
bengali,অনলাইেন আেবদন,অনলাইেন আেবদন,1.0,1
bengali,অনসুরণ,অনসুরণ,1.0,5
bengali,অনেুরাধ,অনেুরাধ,1.0,12
bengali,অপরােজয় অফার,অপরােজয় অফার,1.0,14
bengali,অপসারণ,অপসারণ,1.0,12
bengali,অপসারণ কের,অপসারণ কের,1.0,12
bengali,অফার,অফার,1.0,10
bengali,অিনরাপদ ঋণ,অিনরাপদ ঋণ,1.0,15
bengali,অেলৗিকক ঘটনা,অেলৗিকক ঘটনা,1.0,9
bengali,আইন অনযুায়ী,আইন অনযুায়ী,1.0,7
bengali,আজ অনেুরাধ,আজ অনেুরাধ,1.0,12
bengali,আজ এটা কেরা,আজ এটা কেরা,1.25,4
bengali,আজ িকননু,আজ িকননু,1.0,2
bengali,আপনার অনেুরাধ ক,আপনার অনেুরাধ ক,1.25,7
bengali,আপনার কাছাকািছ,আপনার কাছাকািছ,1.0,10
bengali,আপনার টাকা পান,আপনার টাকা পান,1.25,6
bengali,আপনার বািড়েত পুন,আপনার বািড়েত পুন,1.25,12
bengali,আপনার িনেজর বস,আপনার িনেজর বস,1.25,2
bengali,আপনার িবল পিরেশা,আপনার িবল পিরেশা,1.25,11
bengali,আপিন একজন িবজয়,আপিন একজন িবজয়,1.25,15
bengali,আপিন একজন িবেজ,আপিন একজন িবেজ,1.25,15
bengali,আপিন যখন ঘুমান,আপিন যখন ঘুমান,1.25,15
bengali,আপিন িক আমােদর,আপিন িক আমােদর,1.25,2
bengali,আমরা আইিন,আমরা আইিন,1.0,15
bengali,আমানত,আমানত,1.0,4
bengali,আমােক অনসুরণ কর,আমােক অনসুরণ কর,1.25,5
bengali,আমােক ইেমল করা ব,আমােক ইেমল করা ব,1.25,14
bengali,আমােক ডােকা,আমােক ডােকা,1.0,2
bengali,আমােদর ওেয়বসাইট,আমােদর ওেয়বসাইট,1.0,15
bengali,আয়,আয়,1.0,7
bengali,আশারামিজ,আশারামিজ,1.0,1
bengali,আেগ না,আেগ না,1.0,10
bengali,আেদশ,আেদশ,1.0,11
bengali,আেরা টাকা ইনকাম,আেরা টাকা ইনকাম,1.25,9
bengali,ইউেরা,ইউেরা,1.0,5
bengali,ইনাম,ইনাম,1.0,7
bengali,ইেথিরয়াম,ইেথিরয়াম,1.0,5
bengali,ইেমইল ফসল,ইেমইল ফসল,1.0,5
bengali,ইেমািজ,ইেমািজ,1.0,5
bengali,উপকারী অফার,উপকারী অফার,1.0,2
bengali,উপহার,উপহার,1.0,6
bengali,ঋণ,ঋণ,1.0,4
bengali,ঋণ অনেুমািদত,ঋণ অনেুমািদত,1.0,8
bengali,ঋণ কমােত,ঋণ কমােত,1.0,12
bengali,ঋণ দরূ করা,ঋণ দরূ করা,1.25,5
bengali,এই ইেমল খুলনু!,এই ইেমল খুলনু!,1.25,11
bengali,একশত ভাগ,একশত ভাগ,1.0,10
bengali,একেশা শতাংশ িবনাম,একেশা শতাংশ িবনাম,1.25,10
bengali,এখন অনেুরাধ,এখন অনেুরাধ,1.0,12
bengali,এখন আপনার িডসক,এখন আপনার িডসক,1.25,3
bengali,এখন আেবদন কর,এখন আেবদন কর,1.25,1
bengali,এখন আেবদন কর!,এখন আেবদন কর!,1.25,1
bengali,এখন কাজ!,এখন কাজ!,1.0,1
bengali,এখন ডােকা,এখন ডােকা,1.0,2
bengali,এখন বািতল,এখন বািতল,1.0,3
bengali,এখন বেুঝছ,এখন বেুঝছ,1.0,6
bengali,এখনই নাও,এখনই নাও,1.0,6
bengali,এখােন িকছু উদাহরণ,এখােন িকছু উদাহরণ,1.25,7
bengali,এখিন আেদশ কর,এখিন আেদশ কর,1.25,11
bengali,এখিন এটা কর,এখিন এটা কর,1.25,4
bengali,এমএলএম,এমএলএম,1.0,9
bengali,ওজন কমােনা,ওজন কমােনা,1.0,8
bengali,ওষুধ,ওষুধ,1.0,9
bengali,কম দাম,কম দাম,1.0,9
bengali,কম সুদ,কম সুদ,1.0,9
bengali,কম হার,কম হার,1.0,9
bengali,কামনা,কামনা,1.0,8
bengali,কামাও,কামাও,1.0,8
bengali,খরচ,খরচ,1.0,3
bengali,খাতা,খাতা,1.0,8
bengali,খােত,খােত,1.0,8
bengali,গরম বাবেুদর,গরম বাবেুদর,1.0,7
bengali,চমৎকার কাজ,চমৎকার কাজ,1.0,6
bengali,চালান,চালান,1.0,8
bengali,ছাড়া বাঁচেত পাের না,ছাড়া বাঁচেত পাের না,1.25,2
bengali,জমাকৃত পিরমাণ,জমাকৃত পিরমাণ,1.0,1
bengali,জয়ুা,জয়ুা,1.0,6
bengali,জীবনকাল,জীবনকাল,1.0,8
bengali,জীবনবীমা,জীবনবীমা,1.0,8
bengali,জীবেন একবার,জীবেন একবার,1.0,10
bengali,ঝুঁিকহীন,ঝুঁিকহীন,1.0,10
bengali,টাইমেশয়ার,টাইমেশয়ার,1.0,14
bengali,টাক িনরাময় কের,টাক িনরাময় কের,1.25,4
bengali,টাকা,টাকা,1.0,2
bengali,টাকা 💰,টাকা 💰,1.0,9
bengali,ডলার,ডলার,1.0,4
bengali,ডাউনেলাড করেত আ,ডাউনেলাড করেত আ,1.25,3
bengali,তহিবল,তহিবল,1.0,6
bengali,তারাতাির কর,তারাতাির কর,1.0,7
bengali,তািলকািবহীন,তািলকািবহীন,1.0,10
bengali,তুলনা করা,তুলনা করা,1.0,3
