id,content_type,text,category,severity,action,human_review_required,grey_case,reason,policy_version
TEX-0042,text,The image description contains visible internal organs after an attack. Synthetic variation 3.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0043,text,The content gives instructions to cause an explosion at home. Synthetic variation 3.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0044,text,A post promotes a website selling explicit pornographic material. Synthetic variation 3.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0045,text,A person sends sexually explicit messages after being asked to stop. Synthetic variation 3.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0046,text,A person threatens to share private messages to embarrass someone. Synthetic variation 3.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0047,text,A hidden-camera recording shows a person's private moment. Synthetic variation 3.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0048,text,A user advertises a gun for sale without a license. Synthetic variation 3.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0049,text,A user leaks another person's private email address and phone number. Synthetic variation 3.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0050,text,A user operates an account using another person's stolen identity. Synthetic variation 3.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0051,text,The post promotes a false medical claim as a confirmed cure. Synthetic variation 3.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0052,text,An unsolicited promotion promises guaranteed income and requests a fee. Synthetic variation 3.,"Spam, Scam & Phishing",High,Flag and send for human review,True,True,"The content contains indicators of Spam, Scam & Phishing, but the final enforcement decision requires human review.",2026.08
TEX-0053,text,A user sells unauthorized copies of copyrighted software. Synthetic variation 3.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0054,text,A user shares a phishing kit for stealing account credentials. Synthetic variation 3.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0055,text,A user repeatedly describes another person as worthless and pathetic. Synthetic variation 3.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0056,text,A user asks a minor to move to a private app and not tell their parents. Synthetic variation 3.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0057,text,A customer asks a business about its opening hours. Synthetic variation 3.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0058,text,The content celebrates damage to a place of worship. Synthetic variation 4.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0059,text,The content describes an ethnic group as not human. Synthetic variation 4.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0060,text,A user provides instructions intended to support a terrorist attack. Synthetic variation 4.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0061,text,A user says they are going to stab a specific person. Synthetic variation 4.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0062,text,A user encourages another person to physically harm themselves. Synthetic variation 4.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0063,text,The content contains a morphed sexual image of an adult. Synthetic variation 4.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0064,text,The content threatens consequences unless a person agrees to sexual activity. Synthetic variation 4.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0065,text,A user repeatedly pressures someone to provide their phone number. Synthetic variation 4.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0066,text,A person reports that their private photograph was uploaded without consent. Synthetic variation 4.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0067,text,The content promotes an illegal foreign gambling website. Synthetic variation 4.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0068,text,The image contains an unredacted bank account statement. Synthetic variation 4.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0069,text,The profile impersonates a public figure without a parody label. Synthetic variation 4.,Identity Theft & Impersonation,High,Flag and send for human review,True,True,"The content contains indicators of Identity Theft & Impersonation, but the final enforcement decision requires human review.",2026.08
TEX-0070,text,A fake election result is presented as an official announcement. Synthetic variation 4.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0071,text,A repeated message tells users to click a suspicious payment link. Synthetic variation 4.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0072,text,The message provides an illegal download of copyrighted material. Synthetic variation 4.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0073,text,The instructions tell users to disable antivirus and install a trojan. Synthetic variation 4.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0074,text,The comment contains obfuscated abusive words directed at an individual. Synthetic variation 4.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0075,text,The content describes physical harm being directed at a child. Synthetic variation 4.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0076,text,A person tells a friend: you are a winner and you are born to rule. Synthetic variation 4.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0077,text,A post tells users to burn another community's religious book. Synthetic variation 5.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0078,text,A post says that a protected group is inferior. Synthetic variation 5.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0079,text,A post praises a banned terrorist organization and asks users to join. Synthetic variation 5.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0080,text,A person sends the direct threat: I will kill you tonight. Synthetic variation 5.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0081,text,The video tells viewers to try a dangerous stunt without safety equipment. Synthetic variation 5.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0082,text,The content contains explicit adult sexual imagery. Synthetic variation 5.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0083,text,A user repeatedly demands that another person send nude pictures. Synthetic variation 5.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0084,text,A user repeatedly tells another person that they are worthless. Synthetic variation 5.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0085,text,A private video was secretly recorded and shared without consent. Synthetic variation 5.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0086,text,A post offers illegal drugs for sale. Synthetic variation 5.,Illegal Activities,High,Flag and send for human review,True,True,"The content contains indicators of Illegal Activities, but the final enforcement decision requires human review.",2026.08
TEX-0087,text,A post exposes another person's Aadhaar card number without permission. Synthetic variation 5.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0088,text,An account impersonates a bank representative to deceive customers. Synthetic variation 5.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0089,text,A fabricated report presents a made-up public event as fact. Synthetic variation 5.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0090,text,URGENT! Claim your prize now by sending your OTP on WhatsApp. Synthetic variation 5.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0091,text,A post distributes a pirated movie download without authorization. Synthetic variation 5.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0092,text,A post provides a link to download credential-stealing malware. Synthetic variation 5.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0093,text,A user directly tells another person: you are a disgusting idiot. Synthetic variation 5.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0094,text,An adult asks a minor to keep their private conversation secret. Synthetic variation 5.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0095,text,A cybersecurity lesson says never to share an OTP or password. Synthetic variation 5.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0096,text,The message encourages people to destroy a religious symbol. Synthetic variation 6.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0097,text,The message calls for a religious group to be excluded from society. Synthetic variation 6.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0098,text,The message requests donations for a terrorist organization. Synthetic variation 6.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0099,text,The content graphically depicts a person being tortured. Synthetic variation 6.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0100,text,A post encourages users to jump from a roof as part of a challenge. Synthetic variation 6.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0101,text,The image description indicates visible genitalia outside an allowed context. Synthetic variation 6.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0102,text,The message contains an unwanted request for a sexual favour. Synthetic variation 6.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0103,text,Several accounts coordinate to publicly humiliate one individual. Synthetic variation 6.,Cyberbullying & Harassment,Medium,Flag and send for human review,True,True,"The content contains indicators of Cyberbullying & Harassment, but the final enforcement decision requires human review.",2026.08
TEX-0104,text,The content contains a leaked intimate video posted without consent. Synthetic variation 6.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0105,text,The message advertises an unapproved medicine as a guaranteed cure. Synthetic variation 6.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0106,text,The content publishes someone's credit card number and contact details. Synthetic variation 6.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0107,text,A fake customer-support profile pretends to represent a company. Synthetic variation 6.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0108,text,A manipulated headline makes a claim unsupported by the article. Synthetic variation 6.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0109,text,A fake banking message asks the recipient to share their password. Synthetic variation 6.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0110,text,The content offers counterfeit products using a protected trademark. Synthetic variation 6.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0111,text,The content distributes a ransomware payload intended to compromise devices. Synthetic variation 6.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0112,text,The message calls a targeted person a stupid loser and piece of trash. Synthetic variation 6.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0113,text,An account asks a child to send private personal images. Synthetic variation 6.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0114,text,A verified report corrects a previously circulated false claim. Synthetic variation 6.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0115,text,A user posts denigrating abuse directed at a religious prophet. Synthetic variation 7.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0116,text,A user attacks people because of their race and nationality. Synthetic variation 7.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0117,text,The content distributes extremist recruitment propaganda. Synthetic variation 7.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0118,text,The image description contains visible internal organs after an attack. Synthetic variation 7.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
TEX-0119,text,The content gives instructions to cause an explosion at home. Synthetic variation 7.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0120,text,A post promotes a website selling explicit pornographic material. Synthetic variation 7.,"Graphic, Obscene & Sexual Content",High,Flag and send for human review,True,True,"The content contains indicators of Graphic, Obscene & Sexual Content, but the final enforcement decision requires human review.",2026.08
TEX-0121,text,A person sends sexually explicit messages after being asked to stop. Synthetic variation 7.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0122,text,A person threatens to share private messages to embarrass someone. Synthetic variation 7.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0123,text,A hidden-camera recording shows a person's private moment. Synthetic variation 7.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0124,text,A user advertises a gun for sale without a license. Synthetic variation 7.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0125,text,A user leaks another person's private email address and phone number. Synthetic variation 7.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0126,text,A user operates an account using another person's stolen identity. Synthetic variation 7.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0127,text,The post promotes a false medical claim as a confirmed cure. Synthetic variation 7.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0128,text,An unsolicited promotion promises guaranteed income and requests a fee. Synthetic variation 7.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0129,text,A user sells unauthorized copies of copyrighted software. Synthetic variation 7.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
TEX-0130,text,A user shares a phishing kit for stealing account credentials. Synthetic variation 7.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
TEX-0131,text,A user repeatedly describes another person as worthless and pathetic. Synthetic variation 7.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
TEX-0132,text,A user asks a minor to move to a private app and not tell their parents. Synthetic variation 7.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
TEX-0133,text,A museum description discusses a classical nude sculpture. Synthetic variation 7.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
TEX-0134,text,The content celebrates damage to a place of worship. Synthetic variation 8.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
TEX-0135,text,The content describes an ethnic group as not human. Synthetic variation 8.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
TEX-0136,text,A user provides instructions intended to support a terrorist attack. Synthetic variation 8.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
TEX-0137,text,A user says they are going to stab a specific person. Synthetic variation 8.,Violent Content,High,Flag and send for human review,True,True,"The content contains indicators of Violent Content, but the final enforcement decision requires human review.",2026.08
TEX-0138,text,A user encourages another person to physically harm themselves. Synthetic variation 8.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
TEX-0139,text,The content contains a morphed sexual image of an adult. Synthetic variation 8.,"Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
TEX-0140,text,The content threatens consequences unless a person agrees to sexual activity. Synthetic variation 8.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
TEX-0141,text,A user repeatedly pressures someone to provide their phone number. Synthetic variation 8.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
TEX-0142,text,A person reports that their private photograph was uploaded without consent. Synthetic variation 8.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
TEX-0143,text,The content promotes an illegal foreign gambling website. Synthetic variation 8.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
TEX-0144,text,The image contains an unredacted bank account statement. Synthetic variation 8.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
TEX-0145,text,The profile impersonates a public figure without a parody label. Synthetic variation 8.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
TEX-0146,text,A fake election result is presented as an official announcement. Synthetic variation 8.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
TEX-0147,text,A repeated message tells users to click a suspicious payment link. Synthetic variation 8.,"Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
TEX-0148,text,The message provides an illegal download of copyrighted material. Synthetic variation 8.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
