id,content_type,file_name,image_caption,ocr_text,visual_signals,category,severity,action,human_review_required,grey_case,reason,policy_version
IMA-0019,image,sample_image_0019.jpg,A user shares a photograph of a meal with friends.,A user shares a photograph of a meal with friends.,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0020,image,sample_image_0020.png,The message encourages people to destroy a religious symbol.,The message encourages people to destroy a religious symbol.,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0021,image,sample_image_0021.webp,The message calls for a religious group to be excluded from society.,,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0022,image,sample_image_0022.jpg,The message requests donations for a terrorist organization.,The message requests donations for a terrorist organization.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0023,image,sample_image_0023.png,The content graphically depicts a person being tortured.,The content graphically depicts a person being tortured.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0024,image,sample_image_0024.webp,A post encourages users to jump from a roof as part of a challenge.,A post encourages users to jump from a roof as part of a challenge.,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0025,image,sample_image_0025.jpg,The image description indicates visible genitalia outside an allowed context.,,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0026,image,sample_image_0026.png,The message contains an unwanted request for a sexual favour.,The message contains an unwanted request for a sexual favour.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0027,image,sample_image_0027.webp,Several accounts coordinate to publicly humiliate one individual.,Several accounts coordinate to publicly humiliate one individual.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0028,image,sample_image_0028.jpg,The content contains a leaked intimate video posted without consent.,The content contains a leaked intimate video posted without consent.,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0029,image,sample_image_0029.png,The message advertises an unapproved medicine as a guaranteed cure.,,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0030,image,sample_image_0030.webp,The content publishes someone's credit card number and contact details.,The content publishes someone's credit card number and contact details.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0031,image,sample_image_0031.jpg,A fake customer-support profile pretends to represent a company.,A fake customer-support profile pretends to represent a company.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0032,image,sample_image_0032.png,A manipulated headline makes a claim unsupported by the article.,A manipulated headline makes a claim unsupported by the article.,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0033,image,sample_image_0033.webp,A fake banking message asks the recipient to share their password.,,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0034,image,sample_image_0034.jpg,The content offers counterfeit products using a protected trademark.,The content offers counterfeit products using a protected trademark.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0035,image,sample_image_0035.png,The content distributes a ransomware payload intended to compromise devices.,The content distributes a ransomware payload intended to compromise devices.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Flag and send for human review,True,True,"The content contains indicators of Malicious Programs, but the final enforcement decision requires human review.",2026.08
IMA-0036,image,sample_image_0036.webp,The message calls a targeted person a stupid loser and piece of trash.,The message calls a targeted person a stupid loser and piece of trash.,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0037,image,sample_image_0037.jpg,An account asks a child to send private personal images.,,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
IMA-0038,image,sample_image_0038.png,A teacher posts an ordinary classroom announcement.,A teacher posts an ordinary classroom announcement.,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0039,image,sample_image_0039.webp,A user posts denigrating abuse directed at a religious prophet.,A user posts denigrating abuse directed at a religious prophet.,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0040,image,sample_image_0040.jpg,A user attacks people because of their race and nationality.,A user attacks people because of their race and nationality.,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0041,image,sample_image_0041.png,The content distributes extremist recruitment propaganda.,,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0042,image,sample_image_0042.webp,The image description contains visible internal organs after an attack.,The image description contains visible internal organs after an attack.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0043,image,sample_image_0043.jpg,The content gives instructions to cause an explosion at home.,The content gives instructions to cause an explosion at home.,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0044,image,sample_image_0044.png,A post promotes a website selling explicit pornographic material.,A post promotes a website selling explicit pornographic material.,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0045,image,sample_image_0045.webp,A person sends sexually explicit messages after being asked to stop.,,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0046,image,sample_image_0046.jpg,A person threatens to share private messages to embarrass someone.,A person threatens to share private messages to embarrass someone.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0047,image,sample_image_0047.png,A hidden-camera recording shows a person's private moment.,A hidden-camera recording shows a person's private moment.,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0048,image,sample_image_0048.webp,A user advertises a gun for sale without a license.,A user advertises a gun for sale without a license.,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0049,image,sample_image_0049.jpg,A user leaks another person's private email address and phone number.,,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0050,image,sample_image_0050.png,A user operates an account using another person's stolen identity.,A user operates an account using another person's stolen identity.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0051,image,sample_image_0051.webp,The post promotes a false medical claim as a confirmed cure.,The post promotes a false medical claim as a confirmed cure.,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0052,image,sample_image_0052.jpg,An unsolicited promotion promises guaranteed income and requests a fee.,An unsolicited promotion promises guaranteed income and requests a fee.,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,Flag and send for human review,True,True,"The content contains indicators of Spam, Scam & Phishing, but the final enforcement decision requires human review.",2026.08
IMA-0053,image,sample_image_0053.png,A user sells unauthorized copies of copyrighted software.,,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0054,image,sample_image_0054.webp,A user shares a phishing kit for stealing account credentials.,A user shares a phishing kit for stealing account credentials.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0055,image,sample_image_0055.jpg,A user repeatedly describes another person as worthless and pathetic.,A user repeatedly describes another person as worthless and pathetic.,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0056,image,sample_image_0056.png,A user asks a minor to move to a private app and not tell their parents.,A user asks a minor to move to a private app and not tell their parents.,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
IMA-0057,image,sample_image_0057.webp,A customer asks a business about its opening hours.,,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0058,image,sample_image_0058.jpg,The content celebrates damage to a place of worship.,The content celebrates damage to a place of worship.,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0059,image,sample_image_0059.png,The content describes an ethnic group as not human.,The content describes an ethnic group as not human.,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0060,image,sample_image_0060.webp,A user provides instructions intended to support a terrorist attack.,A user provides instructions intended to support a terrorist attack.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0061,image,sample_image_0061.jpg,A user says they are going to stab a specific person.,,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0062,image,sample_image_0062.png,A user encourages another person to physically harm themselves.,A user encourages another person to physically harm themselves.,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0063,image,sample_image_0063.webp,The content contains a morphed sexual image of an adult.,The content contains a morphed sexual image of an adult.,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0064,image,sample_image_0064.jpg,The content threatens consequences unless a person agrees to sexual activity.,The content threatens consequences unless a person agrees to sexual activity.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0065,image,sample_image_0065.png,A user repeatedly pressures someone to provide their phone number.,,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0066,image,sample_image_0066.webp,A person reports that their private photograph was uploaded without consent.,A person reports that their private photograph was uploaded without consent.,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0067,image,sample_image_0067.jpg,The content promotes an illegal foreign gambling website.,The content promotes an illegal foreign gambling website.,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Restrict and send for human review,True,False,The content matches the configured conditions for Illegal Activities.,2026.08
IMA-0068,image,sample_image_0068.png,The image contains an unredacted bank account statement.,The image contains an unredacted bank account statement.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0069,image,sample_image_0069.webp,The profile impersonates a public figure without a parody label.,,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,True,"The content contains indicators of Identity Theft & Impersonation, but the final enforcement decision requires human review.",2026.08
IMA-0070,image,sample_image_0070.jpg,A fake election result is presented as an official announcement.,A fake election result is presented as an official announcement.,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0071,image,sample_image_0071.png,A repeated message tells users to click a suspicious payment link.,A repeated message tells users to click a suspicious payment link.,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0072,image,sample_image_0072.webp,The message provides an illegal download of copyrighted material.,The message provides an illegal download of copyrighted material.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0073,image,sample_image_0073.jpg,The instructions tell users to disable antivirus and install a trojan.,,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0074,image,sample_image_0074.png,The comment contains obfuscated abusive words directed at an individual.,The comment contains obfuscated abusive words directed at an individual.,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0075,image,sample_image_0075.webp,The content describes physical harm being directed at a child.,The content describes physical harm being directed at a child.,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
IMA-0076,image,sample_image_0076.jpg,A person tells a friend: you are a winner and you are born to rule.,A person tells a friend: you are a winner and you are born to rule.,Safe synthetic visual description for the Normal/Ignore policy category. No raw harmful media is stored.,Normal/Ignore,None,Allow,False,False,"The content is safe, generic, educational, corrective, or otherwise does not meet a restrictive moderation condition.",2026.08
IMA-0077,image,sample_image_0077.png,A post tells users to burn another community's religious book.,,Safe synthetic visual description for the Religiously Offensive Content policy category. No raw harmful media is stored.,Religiously Offensive Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Religiously Offensive Content.,2026.08
IMA-0078,image,sample_image_0078.webp,A post says that a protected group is inferior.,A post says that a protected group is inferior.,Safe synthetic visual description for the Hate Speech & Discrimination policy category. No raw harmful media is stored.,Hate Speech & Discrimination,High,Remove and escalate,True,False,The content matches the configured conditions for Hate Speech & Discrimination.,2026.08
IMA-0079,image,sample_image_0079.jpg,A post praises a banned terrorist organization and asks users to join.,A post praises a banned terrorist organization and asks users to join.,Safe synthetic visual description for the Terrorism & Extremism policy category. No raw harmful media is stored.,Terrorism & Extremism,Critical,Block and escalate,True,False,The content matches the configured conditions for Terrorism & Extremism.,2026.08
IMA-0080,image,sample_image_0080.png,A person sends the direct threat: I will kill you tonight.,A person sends the direct threat: I will kill you tonight.,Safe synthetic visual description for the Violent Content policy category. No raw harmful media is stored.,Violent Content,High,Block or apply a sensitive-content warning,True,False,The content matches the configured conditions for Violent Content.,2026.08
IMA-0081,image,sample_image_0081.webp,The video tells viewers to try a dangerous stunt without safety equipment.,,Safe synthetic visual description for the Dangerous Content policy category. No raw harmful media is stored.,Dangerous Content,High,Remove and send for human review,True,False,The content matches the configured conditions for Dangerous Content.,2026.08
IMA-0082,image,sample_image_0082.jpg,The content contains explicit adult sexual imagery.,The content contains explicit adult sexual imagery.,"Safe synthetic visual description for the Graphic, Obscene & Sexual Content policy category. No raw harmful media is stored.","Graphic, Obscene & Sexual Content",High,Block or age-restrict,True,False,"The content matches the configured conditions for Graphic, Obscene & Sexual Content.",2026.08
IMA-0083,image,sample_image_0083.png,A user repeatedly demands that another person send nude pictures.,A user repeatedly demands that another person send nude pictures.,Safe synthetic visual description for the Sexual Harassment policy category. No raw harmful media is stored.,Sexual Harassment,High,Remove and escalate,True,False,The content matches the configured conditions for Sexual Harassment.,2026.08
IMA-0084,image,sample_image_0084.webp,A user repeatedly tells another person that they are worthless.,A user repeatedly tells another person that they are worthless.,Safe synthetic visual description for the Cyberbullying & Harassment policy category. No raw harmful media is stored.,Cyberbullying & Harassment,Medium,"Limit, flag, and send for human review",True,False,The content matches the configured conditions for Cyberbullying & Harassment.,2026.08
IMA-0085,image,sample_image_0085.jpg,A private video was secretly recorded and shared without consent.,,Safe synthetic visual description for the Invasion of Privacy policy category. No raw harmful media is stored.,Invasion of Privacy,High,Restrict and send for human review,True,False,The content matches the configured conditions for Invasion of Privacy.,2026.08
IMA-0086,image,sample_image_0086.png,A post offers illegal drugs for sale.,A post offers illegal drugs for sale.,Safe synthetic visual description for the Illegal Activities policy category. No raw harmful media is stored.,Illegal Activities,High,Flag and send for human review,True,True,"The content contains indicators of Illegal Activities, but the final enforcement decision requires human review.",2026.08
IMA-0087,image,sample_image_0087.webp,A post exposes another person's Aadhaar card number without permission.,A post exposes another person's Aadhaar card number without permission.,Safe synthetic visual description for the Publishing Private Information policy category. No raw harmful media is stored.,Publishing Private Information,High,Remove exposed information and send for human review,True,False,The content matches the configured conditions for Publishing Private Information.,2026.08
IMA-0088,image,sample_image_0088.jpg,An account impersonates a bank representative to deceive customers.,An account impersonates a bank representative to deceive customers.,Safe synthetic visual description for the Identity Theft & Impersonation policy category. No raw harmful media is stored.,Identity Theft & Impersonation,High,Flag and send for human review,True,False,The content matches the configured conditions for Identity Theft & Impersonation.,2026.08
IMA-0089,image,sample_image_0089.png,A fabricated report presents a made-up public event as fact.,,Safe synthetic visual description for the Misinformation & Fake News policy category. No raw harmful media is stored.,Misinformation & Fake News,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Misinformation & Fake News.,2026.08
IMA-0090,image,sample_image_0090.webp,URGENT! Claim your prize now by sending your OTP on WhatsApp.,URGENT! Claim your prize now by sending your OTP on WhatsApp.,"Safe synthetic visual description for the Spam, Scam & Phishing policy category. No raw harmful media is stored.","Spam, Scam & Phishing",High,"Block, warn, or limit distribution",False,False,"The content matches the configured conditions for Spam, Scam & Phishing.",2026.08
IMA-0091,image,sample_image_0091.jpg,A post distributes a pirated movie download without authorization.,A post distributes a pirated movie download without authorization.,Safe synthetic visual description for the Intellectual Property Infringement policy category. No raw harmful media is stored.,Intellectual Property Infringement,Medium,Flag and send for human review,True,False,The content matches the configured conditions for Intellectual Property Infringement.,2026.08
IMA-0092,image,sample_image_0092.png,A post provides a link to download credential-stealing malware.,A post provides a link to download credential-stealing malware.,Safe synthetic visual description for the Malicious Programs policy category. No raw harmful media is stored.,Malicious Programs,Critical,Block and send for security review,True,False,The content matches the configured conditions for Malicious Programs.,2026.08
IMA-0093,image,sample_image_0093.webp,A user directly tells another person: you are a disgusting idiot.,,Safe synthetic visual description for the Abusive Words policy category. No raw harmful media is stored.,Abusive Words,Medium,Remove or limit distribution,False,False,The content matches the configured conditions for Abusive Words.,2026.08
IMA-0094,image,sample_image_0094.jpg,An adult asks a minor to keep their private conversation secret.,An adult asks a minor to keep their private conversation secret.,Safe synthetic visual description for the Child Exploitation policy category. No raw harmful media is stored.,Child Exploitation,Critical,Block and immediately escalate,True,False,The content matches the configured conditions for Child Exploitation.,2026.08
