split,label,family,text
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to torch the holy text as a deliberate insult.
train,religiously_offensive,prior_rc2_development::sacred_object_or_text_attack,The post tells viewers to dismantle the sacred monument as a deliberate insult.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to mock the deity.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to ridicule the prophet.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to vilify the religious figure.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to demean the spiritual leader.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to humiliate the revered religious teacher.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to insult the sacred figure.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to degrade the religious leader.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to revile the god.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to deride the religious figurehead.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to abuse the sacred leader.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to publish an obscene caricature of the prophet.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to share a degrading depiction of the deity.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to create an abusive caricature of the religious leader.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to circulate an obscene depiction of the spiritual leader.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to post a morphed image to humiliate the sacred figure.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to publicly mock the revered teacher.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to repeatedly insult the god.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to deliberately ridicule the religious figure.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to publish a degrading caricature of the religious figurehead.
train,religiously_offensive,prior_rc2_development::deity_prophet_or_figure_attack,The account urges people to revile the prophet.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to wreck the temple.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to deface the church.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to smash the mosque.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to demolish the gurudwara.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to vandalize the shrine.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to damage the chapel.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to destroy the monastery.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to desecrate the sanctuary.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to break the altar.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to torch the prayer hall.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to burn the prayer space.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to tear down the place of worship.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to dismantle the worship building.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to raze the religious building.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to cover with obscene graffiti the sacred site.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to mutilate the gurdwara.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to crush the temple.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to scorch the mosque.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to vandalise the church.
train,religiously_offensive,prior_rc2_development::place_of_worship_attack,A public message calls on supporters to tear apart the shrine.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says religious followers are inferior.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says followers of the faith are parasites.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says followers of that faith are not human.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says people of that religion are less than human.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says people because of their religion are criminals by nature.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says religious believers are inherently dangerous.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says worshippers should not exist.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says faith community should be excluded.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says religious community should be expelled.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says religious group must be forced to leave.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says members of the religion must be boycotted.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says families of that faith should be denied jobs.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says workers of that faith should be denied housing.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says students of that faith should be denied education.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says followers of this faith must be kept out.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says people of this religion should be banned from the town.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says members of that religion must be refused employment.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says members of this religion should be removed from the neighborhood.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says religious followers must be attacked.
train,protected_followers_hate_boundary,prior_rc2_development::protected_followers_hate_boundary,The post says worshippers should be harmed.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,A news report describes vandals who burned a holy book.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The article reports that a sacred statue was damaged and later restored.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,A documentary examines why attackers defaced a religious building.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,A historian discusses the destruction of a temple in historical context.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,A religious studies lesson explains why desecrating scripture causes harm.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,Researchers study reports of vandalism against places of worship.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,A museum exhibit documents a damaged sacred monument.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The teacher explains why people must not burn religious books.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,An educational discussion condemns insults against a prophet.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,An interfaith campaign asks people not to damage sacred objects.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,Community leaders condemned the vandalism of a mosque.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The safety campaign warns against defacing religious symbols.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The author respectfully questions a religious doctrine.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The scholar offers good faith criticism of a belief.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,A student disagrees with the doctrine without insulting believers.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The museum restored a religious statue that had been broken.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,Volunteers repaired the prayer hall after reported vandalism.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The article reported an obscene caricature and condemned it.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,A prevention campaign tells viewers never to desecrate a holy text.
train,safe_reporting_or_criticism,prior_rc2_development::safe_reporting_education_and_criticism,The documentary provides cultural context for the sacred emblem.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,You are rude and dishonest.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,That person is annoying.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The manager behaved badly yesterday.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,I strongly dislike that individual.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The player mocked another player after the match.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,Someone insulted me during a private argument.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The neighbor called him foolish.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,A classmate posted a degrading comment about my clothes.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The customer shouted an insult at the cashier.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,They ridiculed his singing performance.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The critic described the film as worthless.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,A user repeatedly mocked another user's hairstyle.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The supervisor humiliated one employee over a mistake.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,She posted an abusive message about her former friend.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The team captain demeaned a player for losing.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,He shared a morphed image of a schoolmate.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The comedian insulted a celebrity's acting.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,A stranger called the driver disgusting.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The post vilified a corrupt company executive.
train,no_religious_override,prior_rc2_development::personal_abuse_boundary,The review derided the restaurant's service.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,Send your password now to unlock the account.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The message offers a fake lottery reward for a transfer fee.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,A stranger published somebody's private phone number.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The attachment contains code designed to steal browser data.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The account impersonates a bank employee and requests an OTP.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The video shows a graphic assault between two people.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,A seller advertises counterfeit software keys.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The post coordinates an illegal drug sale.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,A user repeatedly threatens a classmate online.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The article makes an unsupported medical claim.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The email contains many unsolicited advertising links.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,A website republishes a copyrighted film without permission.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The file contains explicit sexual imagery.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The message asks someone to install malicious software.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,A profile pretends to be a government officer for money.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The comment shares another person's home address.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The recording contains a direct threat of physical violence.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The post promotes an extremist organization.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The advertisement uses a stolen brand identity.
train,no_religious_override,prior_rc2_development::unrelated_category_isolation,The document is a normal meeting agenda for tomorrow.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to burn the holy book.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to incinerate the consecrated icon.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to scorch the devotional image.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to torch the ceremonial object.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to destroy the worship artefact.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to desecrate the devotional relic.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to profane the consecrated object.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to deface the sacred manuscript.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to disfigure the sacred emblem.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to smash the holy statue.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to shatter the sacred banner.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to crush the sacred monument.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to tear apart the religious carving.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to rip up the holy scripture.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to shred the religious scripture.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to trample the religious symbol.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to stomp on the prayer beads.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to drag through mud the religious flag.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to cover with obscene graffiti the holy text.
train,religiously_offensive,religious_object_train_frame_0,The post urges its audience to mutilate the sacred painting.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should incinerate a sacred manuscript.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should scorch a sacred emblem.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should torch a holy statue.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should destroy a sacred banner.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should desecrate a sacred monument.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should profane a religious carving.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should deface a holy scripture.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should disfigure a religious scripture.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should smash a religious symbol.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should shatter a prayer beads.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should crush a religious flag.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should tear apart a holy text.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should rip up a sacred painting.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should shred a holy book.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should trample a consecrated icon.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should stomp on a devotional image.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should drag through mud a ceremonial object.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should cover with obscene graffiti a worship artefact.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should mutilate a devotional relic.
train,religiously_offensive,religious_object_train_frame_1,A public account tells supporters they should burn a consecrated object.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to scorch that religious scripture as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to torch that religious symbol as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to destroy that prayer beads as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to desecrate that religious flag as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to profane that holy text as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to deface that sacred painting as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to disfigure that holy book as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to smash that consecrated icon as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to shatter that devotional image as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to crush that ceremonial object as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to tear apart that worship artefact as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to rip up that devotional relic as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to shred that consecrated object as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to trample that sacred manuscript as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to stomp on that sacred emblem as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to drag through mud that holy statue as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to cover with obscene graffiti that sacred banner as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to mutilate that sacred monument as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to burn that religious carving as an insult.
train,religiously_offensive,religious_object_train_frame_2,The creator encourages viewers to incinerate that holy scripture as an insult.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to torch the community's consecrated icon.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to destroy the community's devotional image.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to desecrate the community's ceremonial object.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to profane the community's worship artefact.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to deface the community's devotional relic.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to disfigure the community's consecrated object.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to smash the community's sacred manuscript.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to shatter the community's sacred emblem.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to crush the community's holy statue.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to tear apart the community's sacred banner.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to rip up the community's sacred monument.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to shred the community's religious carving.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to trample the community's holy scripture.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to stomp on the community's religious scripture.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to drag through mud the community's religious symbol.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to cover with obscene graffiti the community's prayer beads.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to mutilate the community's religious flag.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to burn the community's holy text.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to incinerate the community's sacred painting.
train,religiously_offensive,religious_object_train_frame_3,A message celebrates a plan to scorch the community's holy book.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to mock the deity.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to ridicule the spiritual leader.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to vilify the faith founder.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to demean the religious figurehead.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to humiliate the deity.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to insult the spiritual leader.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to degrade the faith founder.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to revile the religious figurehead.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to deride the deity.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to slander the spiritual leader.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to lampoon the faith founder.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to publish an obscene caricature of the religious figurehead.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to circulate a degrading depiction of the deity.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to share an abusive morphed image of the spiritual leader.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to mock the faith founder.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to ridicule the religious figurehead.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to vilify the deity.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to demean the spiritual leader.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to humiliate the faith founder.
train,religiously_offensive,religious_figure_train_frame_0,The post urges its audience to insult the religious figurehead.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should ridicule a prophet.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should vilify a revered teacher.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should demean a religious leader.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should humiliate a divine figure.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should insult a prophet.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should degrade a revered teacher.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should revile a religious leader.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should deride a divine figure.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should slander a prophet.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should lampoon a revered teacher.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should publish an obscene caricature of a religious leader.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should circulate a degrading depiction of a divine figure.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should share an abusive morphed image of a prophet.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should mock a revered teacher.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should ridicule a religious leader.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should vilify a divine figure.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should demean a prophet.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should humiliate a revered teacher.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should insult a religious leader.
train,religiously_offensive,religious_figure_train_frame_1,A public account tells supporters they should degrade a divine figure.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to vilify that religious figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to demean that sacred figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to humiliate that venerated holy person as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to insult that revered faith leader as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to degrade that religious figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to revile that sacred figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to deride that venerated holy person as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to slander that revered faith leader as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to lampoon that religious figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to publish an obscene caricature of that sacred figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to circulate a degrading depiction of that venerated holy person as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to share an abusive morphed image of that revered faith leader as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to mock that religious figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to ridicule that sacred figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to vilify that venerated holy person as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to demean that revered faith leader as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to humiliate that religious figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to insult that sacred figure as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to degrade that venerated holy person as an insult.
train,religiously_offensive,religious_figure_train_frame_2,The creator encourages viewers to revile that revered faith leader as an insult.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to demean the community's spiritual leader.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to humiliate the community's faith founder.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to insult the community's religious figurehead.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to degrade the community's deity.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to revile the community's spiritual leader.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to deride the community's faith founder.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to slander the community's religious figurehead.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to lampoon the community's deity.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to publish an obscene caricature of the community's spiritual leader.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to circulate a degrading depiction of the community's faith founder.
train,religiously_offensive,religious_figure_train_frame_3,A message celebrates a plan to share an abusive morphed image of the community's religious figurehead.
