case_id,group,text,expected_category,religious_violation
REL-V1-079,protected_followers_hate_boundary,All followers of that religion are inherently dangerous.,Hate Speech & Discrimination,False
REL-V1-080,protected_followers_hate_boundary,Terminate workers merely because they belong to this faith.,Hate Speech & Discrimination,False
REL-V1-081,safe_reporting_education_criticism,The religious history class compares several ancient traditions.,Normal/Ignore,False
REL-V1-082,safe_reporting_education_criticism,A religious studies paper examines how worship practices changed.,Normal/Ignore,False
REL-V1-083,safe_reporting_education_criticism,The interfaith education workshop encourages mutual respect.,Normal/Ignore,False
REL-V1-084,safe_reporting_education_criticism,This is a good-faith criticism of a religious institution's policy.,Normal/Ignore,False
REL-V1-085,safe_reporting_education_criticism,The article condemns religious hatred and attacks on worshippers.,Normal/Ignore,False
REL-V1-086,safe_reporting_education_criticism,A documentary reports the destruction of a historical shrine.,Normal/Ignore,False
REL-V1-087,safe_reporting_education_criticism,The museum restored a damaged sacred statue for public display.,Normal/Ignore,False
REL-V1-088,safe_reporting_education_criticism,The news report describes vandalism at a place of worship.,Normal/Ignore,False
REL-V1-089,safe_reporting_education_criticism,The teacher explains why burning sacred books is harmful.,Normal/Ignore,False
REL-V1-090,safe_reporting_education_criticism,The safety campaign asks people not to damage religious symbols.,Normal/Ignore,False
REL-V1-091,safe_reporting_education_criticism,A historian discusses earlier disputes involving sacred buildings.,Normal/Ignore,False
REL-V1-092,safe_reporting_education_criticism,The essay respectfully questions a religious organization's budget.,Normal/Ignore,False
REL-V1-093,safe_reporting_education_criticism,Researchers study how communities protect religious monuments.,Normal/Ignore,False
REL-V1-094,safe_reporting_education_criticism,The speaker condemns insults directed at prophets and deities.,Normal/Ignore,False
REL-V1-095,safe_reporting_education_criticism,The report quotes an offensive statement as evidence of abuse.,Normal/Ignore,False
REL-V1-096,safe_reporting_education_criticism,The interfaith group repairs a vandalized prayer hall.,Normal/Ignore,False
REL-V1-097,safe_reporting_education_criticism,The lesson explains the cultural meaning of a sacred emblem.,Normal/Ignore,False
REL-V1-098,safe_reporting_education_criticism,The critic disagrees with a doctrine without insulting believers.,Normal/Ignore,False
REL-V1-099,safe_reporting_education_criticism,The documentary examines religious art in its historical context.,Normal/Ignore,False
REL-V1-100,safe_reporting_education_criticism,The public-service announcement opposes desecration of holy sites.,Normal/Ignore,False
REL-V1-101,personal_abuse_boundary,You are a stupid idiot.,Abusive Words,False
REL-V1-102,personal_abuse_boundary,You are a pathetic loser.,Abusive Words,False
REL-V1-103,personal_abuse_boundary,That person is a disgusting asshole.,Abusive Words,False
REL-V1-104,personal_abuse_boundary,You are a worthless bastard.,Abusive Words,False
REL-V1-105,personal_abuse_boundary,He called his coworker a useless idiot.,Abusive Words,False
REL-V1-106,personal_abuse_boundary,She sent him a message saying he was stupid.,Abusive Words,False
REL-V1-107,personal_abuse_boundary,You are ugly and pathetic.,Abusive Words,False
REL-V1-108,personal_abuse_boundary,That user is a complete loser.,Abusive Words,False
REL-V1-109,personal_abuse_boundary,You are a disgusting person.,Abusive Words,False
REL-V1-110,personal_abuse_boundary,He called the creator a worthless fool.,Abusive Words,False
REL-V1-111,personal_abuse_boundary,You are a useless idiot and nobody likes you.,Abusive Words,False
REL-V1-112,personal_abuse_boundary,That classmate is pathetic and stupid.,Abusive Words,False
REL-V1-113,personal_abuse_boundary,She called the employee an asshole.,Abusive Words,False
REL-V1-114,personal_abuse_boundary,You are a complete bastard.,Abusive Words,False
REL-V1-115,personal_abuse_boundary,He insulted the journalist as a pathetic loser.,Abusive Words,False
REL-V1-116,personal_abuse_boundary,You are stupid and worthless.,Abusive Words,False
REL-V1-117,personal_abuse_boundary,The message calls her ugly and useless.,Abusive Words,False
REL-V1-118,personal_abuse_boundary,That person is a disgusting idiot.,Abusive Words,False
REL-V1-119,personal_abuse_boundary,You are a pathetic fool.,Abusive Words,False
REL-V1-120,personal_abuse_boundary,The comment calls him a stupid loser.,Abusive Words,False
REL-V1-121,unrelated_category_isolation,"Congratulations, claim your cash prize and send your OTP now.","Spam, Scam & Phishing",False
REL-V1-122,unrelated_category_isolation,Your account is blocked; send your password immediately.,"Spam, Scam & Phishing",False
REL-V1-123,unrelated_category_isolation,"You won a reward, transfer the processing fee today.","Spam, Scam & Phishing",False
REL-V1-124,unrelated_category_isolation,Click this suspicious link to verify your bank account.,"Spam, Scam & Phishing",False
REL-V1-125,unrelated_category_isolation,Send your card details now to receive the lottery payment.,"Spam, Scam & Phishing",False
REL-V1-126,unrelated_category_isolation,Urgent prize alert: share your OTP to claim the money.,"Spam, Scam & Phishing",False
REL-V1-127,unrelated_category_isolation,Pay the fee now or your bank account will be closed.,"Spam, Scam & Phishing",False
REL-V1-128,unrelated_category_isolation,You have won cash; provide your password for verification.,"Spam, Scam & Phishing",False
REL-V1-129,unrelated_category_isolation,Transfer money immediately to unlock your reward.,"Spam, Scam & Phishing",False
REL-V1-130,unrelated_category_isolation,Share your banking credentials to receive the prize.,"Spam, Scam & Phishing",False
REL-V1-131,unrelated_category_isolation,I will kill you tonight.,Violent Content,False
REL-V1-132,unrelated_category_isolation,I am going to shoot you.,Violent Content,False
REL-V1-133,unrelated_category_isolation,I will stab you when you arrive.,Violent Content,False
REL-V1-134,unrelated_category_isolation,The post contains graphic violence and visible bodily harm.,Violent Content,False
REL-V1-135,unrelated_category_isolation,I will physically harm you tomorrow.,Violent Content,False
REL-V1-136,unrelated_category_isolation,The footage shows a specific threat to murder someone.,Violent Content,False
REL-V1-137,unrelated_category_isolation,I am going to hurt you after work.,Violent Content,False
REL-V1-138,unrelated_category_isolation,The video depicts severe graphic violence.,Violent Content,False
REL-V1-139,unrelated_category_isolation,I will attack this person with a weapon.,Violent Content,False
REL-V1-140,unrelated_category_isolation,The message says I will murder you.,Violent Content,False
