qid,primary_name,aliases_json,matchable_aliases_json,primary_name_match_allowed,wikidata_class_qids_json,wikidata_class_labels_json,community_status,confirmed_legal_designation,eligible_for_review_routing,eligible_for_automatic_category,automatic_enforcement_allowed,neutral_mention_is_violation,exact_match_only,behavior_context_required,source_url,source_modified_utc,source_revision,retrieved_utc,license,license_url
Q13438898,Al-Abbas brigade,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q13438898,2025-04-22T13:02:48Z,2340591074,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q287875,Al-Aqsa Foundation,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q287875,2026-01-26T07:03:34Z,2457842033,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q55603461,Al-Ashtar Brigades,"[""AAB"",""Saraya Al-Ashtar"",""سرايا الأشتر""]","[""Saraya Al-Ashtar"",""سرايا الأشتر""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q55603461,2026-07-06T11:34:56Z,2514448371,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q285185,Al-Gama'a al-Islamiyya,"[""al Jamaat al Islamiya"",""Al-Gama'at al-Islamiya"",""al-Jama'a al-Islamiyya""]","[""al Jamaat al Islamiya"",""Al-Gama'at al-Islamiya"",""al-Jama'a al-Islamiyya""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q285185,2026-07-14T16:57:31Z,2517459794,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q19428975,Al-Khansaa Brigade,"[""Al Kansah"",""Al Kansah Brigade"",""Al-Khansaa""]","[""Al Kansah"",""Al Kansah Brigade"",""Al-Khansaa""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q19428975,2026-08-03T11:59:15Z,2526729394,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q16525650,Al-Mourabitoun,"[""al-Murabitun""]","[""al-Murabitun""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q16525650,2026-07-29T13:48:02Z,2524328634,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q25449986,Al-Mukhtar Brigades,"[""Bahraini Islamic Resistance"",""Saraya al-Makhtar""]","[""Bahraini Islamic Resistance"",""Saraya al-Makhtar""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q25449986,2026-04-29T16:47:15Z,2485633922,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q44810800,Al-Mulathameen,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q44810800,2025-11-17T05:29:34Z,2430573889,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q32748,Al-Nusra Front,"[""al-Nusrah Front"",""al-Qaeda in Syria"",""al-Qaeda in the Levant"",""Jabhah Fath Sham"",""JaN"",""JN""]","[""al-Nusrah Front"",""al-Qaeda in Syria"",""al-Qaeda in the Levant"",""Jabhah Fath Sham""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q32748,2026-07-16T02:21:57Z,2518006866,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q34490,Al-Qaeda,"[""al-Qa'ida"",""al-Qa'idah"",""al-Qaida"",""Qaedat al-Jihad"",""The Base"",""The Foundation""]","[""al-Qa'ida"",""al-Qa'idah"",""al-Qaida"",""Qaedat al-Jihad"",""The Base"",""The Foundation""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q34490,2026-07-31T19:57:55Z,2525301524,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q19428976,Al-Qaeda in Bosnia and Herzegovina,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q19428976,2026-07-27T06:56:11Z,2523279422,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q1076058,Al-Qaeda in Iraq,"[""Al-Qaeda in Mesopotamia"",""AQI"",""Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn"",""TQJBR""]","[""Al-Qaeda in Mesopotamia"",""Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q1076058,2026-05-08T15:09:53Z,2489012721,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q2635866,Al-Qaeda in the Arabian Peninsula,"[""Al Qa'ida in Yemen"",""al-Qa'ida in the Arabian Peninsula"",""Al-Qaeda in Yemen"",""AQAP""]","[""Al Qa'ida in Yemen"",""al-Qa'ida in the Arabian Peninsula"",""Al-Qaeda in Yemen""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q2635866,2025-12-26T09:04:02Z,2447298166,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q17899406,al-Qaeda in the Indian Subcontinent,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q17899406,2025-12-31T11:52:55Z,2449621780,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q2635966,al-Qaeda in the Islamic Maghreb,"[""al-Qaida in the Islamic Maghreb"",""AQIM"",""Organization of al-Qa'ida in the Land of the Islamic Maghreb""]","[""al-Qaida in the Islamic Maghreb"",""Organization of al-Qa'ida in the Land of the Islamic Maghreb""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q2635966,2026-07-29T13:51:29Z,2524329778,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q22947425,Al-Qaeda in the Sinai Peninsula,"[""AQSP"",""القاعدة في سيناء""]","[""القاعدة في سيناء""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q22947425,2026-03-13T03:33:10Z,2471565180,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q111223218,Al-Qaeda in Turkey,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q111223218,2025-03-17T01:45:13Z,2325951760,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4703056,Al-Qaeda Kurdish Battalions,"[""AQKB""]",[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4703056,2024-02-02T18:12:27Z,2067374384,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q309998,Al-Shabaab,"[""al-Shabab"",""Harakat al-Shabaab al-Mujahideen"",""Harakat ash-Shabāb"",""HSM"",""Shabab militia"",""Shabab militias""]","[""al-Shabab"",""Harakat al-Shabaab al-Mujahideen"",""Harakat ash-Shabāb"",""Shabab militia"",""Shabab militias""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q309998,2026-08-10T15:36:27Z,2529646241,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4703280,Al-Tawhid Brigade,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4703280,2026-02-24T18:37:41Z,2466394687,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q106696267,Allah'r Dal,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q106696267,2026-01-20T18:35:59Z,2456382273,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q2850014,Animal Rights Militia,"[""ARM""]",[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q2850014,2026-06-02T16:14:19Z,2501133030,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q568914,Ansar al-Islam,"[""AAI"",""Ansar al-Islam fi Kurdistan""]","[""Ansar al-Islam fi Kurdistan""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q568914,2026-07-17T19:25:16Z,2518798952,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q123676980,Ansar al-Khilafah Brazil,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q123676980,2026-05-24T16:16:36Z,2496872146,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4770519,Ansar al-Sharia,"[""Ansar al-Sharia in Libya"",""Supporters of Islamic Law""]","[""Ansar al-Sharia in Libya"",""Supporters of Islamic Law""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4770519,2026-07-29T13:40:10Z,2524325457,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4770521,Ansar al-Sharia,"[""(Yemen)""]","[""(Yemen)""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4770521,2024-05-05T05:25:01Z,2145242914,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q15646812,Ansar Bait al-Maqdis,"[""أنصار بيت المقدس""]","[""أنصار بيت المقدس""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q15646812,2025-12-17T12:27:40Z,2443397457,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q568900,Ansar Dine,"[""Ansar al-Din""]","[""Ansar al-Din""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q568900,2026-07-29T13:42:33Z,2524326389,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q28499712,Ansar ul Islam,"[""Andar ul Islam"",""Ansarul Islam"",""أنصار الإسلام (بوركينا فاسو)""]","[""Andar ul Islam"",""Ansarul Islam"",""أنصار الإسلام (بوركينا فاسو)""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q28499712,2025-11-13T13:17:46Z,2429082557,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4770527,Ansaru,"[""Vanguards for the Protection of Muslims in Black Africa""]","[""Vanguards for the Protection of Muslims in Black Africa""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4770527,2025-11-13T15:36:19Z,2429121665,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q16147066,Ansarullah Bengali Team,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q16147066,2025-11-14T12:06:01Z,2429473068,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q130571835,Anti-Russian separatist movement,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q130571835,2026-03-19T05:18:01Z,2473481305,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q136888365,Antifa Ost,"[""Antifa East"",""Hammerbande""]","[""Antifa East"",""Hammerbande""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q136888365,2026-02-15T12:58:39Z,2463651507,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4783252,Arab Struggle Movement for the Liberation of Ahvaz,"[""Ahvaz National Resistance"",""Ahwaz Monitor"",""Ahwaz National Resistance"",""Ahwazi Organization for the Defense of Human Rights"",""Ahwazian Pen Foundation for Culture and Media"",""Ahwaziska Kulturförningen-AKF"",""Ahwazna"",""Ahwazna Forening"",""al-Farouq Battalion"",""Arab Struggle Movement for the Liberation of Ahwaz"",""Arab Struggle Movement for the Liberation of Al-Ahvaz"",""Arab Struggle Movement for the Liberation of Al-Ahwaz"",""Arabic-European Foundation for International Relations"",""ASMLA"",""Dur Untash Center for Strategic Studies"",""European-Ahwazi Organization for the Defense of Human Rights"",""Gulf-European Centre for Human Rights"",""Majid al-Baghbeh Martyrs Battalion"",""MMDNB"",""Mohiuddin Nasser Martyrs Brigade"",""Razi al-Zarqani Martyrs Battalion""]","[""Ahvaz National Resistance"",""Ahwaz Monitor"",""Ahwaz National Resistance"",""Ahwazi Organization for the Defense of Human Rights"",""Ahwazian Pen Foundation for Culture and Media"",""Ahwaziska Kulturförningen-AKF"",""Ahwazna"",""Ahwazna Forening"",""al-Farouq Battalion"",""Arab Struggle Movement for the Liberation of Ahwaz"",""Arab Struggle Movement for the Liberation of Al-Ahvaz"",""Arab Struggle Movement for the Liberation of Al-Ahwaz"",""Arabic-European Foundation for International Relations"",""Dur Untash Center for Strategic Studies"",""European-Ahwazi Organization for the Defense of Human Rights"",""Gulf-European Centre for Human Rights"",""Majid al-Baghbeh Martyrs Battalion"",""Mohiuddin Nasser Martyrs Brigade"",""Razi al-Zarqani Martyrs Battalion""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4783252,2026-01-04T23:27:12Z,2451435312,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q56317688,Argala Command,[],[],True,"[""Q4456236""]","[""terrorist group""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q56317688,2025-01-03T04:20:53Z,2294156498,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q920152,Argentine Anticommunist Alliance,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q920152,2026-07-25T23:23:05Z,2522700493,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q2862111,Armata Corsa,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q2862111,2022-03-19T20:11:27Z,1598666943,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q3117728,Armed Liberation Group,"[""GLA"",""Groupe armé de libération""]","[""Groupe armé de libération""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q3117728,2023-07-14T00:01:53Z,1934215014,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q3345677,Armed Nuclei for Popular Autonomy,"[""NAPAP"",""noyaux armes poru l autonomie populaire"",""Noyaux armés pour l'autonomie populaire""]","[""noyaux armes poru l autonomie populaire"",""Noyaux armés pour l'autonomie populaire""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q3345677,2024-12-30T03:58:16Z,2292798258,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q110464572,Armed Nuclei for Territorial Counter-Power,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q110464572,2026-02-20T22:16:25Z,2465058850,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q1058894,Armed Proletarians for Communism,"[""Proletari Armati per il Comunismo""]","[""Proletari Armati per il Comunismo""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q1058894,2025-02-25T17:52:47Z,2316876794,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q94739,Armed Revolutionary Nuclei,"[""NAR"",""Nuclei Armati Rivoluzionari""]","[""Nuclei Armati Rivoluzionari""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q94739,2026-07-18T08:51:09Z,2519026742,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q689801,Army of God,"[""A.O.G""]","[""A.O.G""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q689801,2026-04-20T22:52:59Z,2483549603,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q14809607,Army of Islam,"[""Brigade of Islam"",""Islamic Coalition"",""Jaysh al-Islam""]","[""Brigade of Islam"",""Islamic Coalition"",""Jaysh al-Islam""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q14809607,2026-08-03T06:17:17Z,2526647320,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q798210,Army of Islam,[],[],True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q798210,2026-08-03T06:16:18Z,2526647095,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q4794345,Army of the Men of the Naqshbandi Order,"[""Jaysh Rijal al-Tariq al Naqshabandi"",""JRTN"",""Naqshbandi Army""]","[""Jaysh Rijal al-Tariq al Naqshabandi"",""Naqshbandi Army""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q4794345,2026-03-04T21:03:49Z,2469435040,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q21512693,Artigat network,[],[],True,"[""Q4456236""]","[""terrorist group""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q21512693,2024-08-11T20:51:53Z,2225221694,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q568912,Assembly of the Helpers of Sunnah,"[""Ansar al-Sunna"",""AS""]","[""Ansar al-Sunna""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q568912,2026-07-17T19:25:38Z,2518799134,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q39056878,Atomwaffen Division,"[""AWD"",""AWD Deutschland"",""AWD Russland"",""FKD"",""National Socialist Resistance Front"",""Northern Order"",""Nuovo Ordine Sociale"",""Sonnenkrieg Division""]","[""AWD Deutschland"",""AWD Russland"",""National Socialist Resistance Front"",""Northern Order"",""Nuovo Ordine Sociale"",""Sonnenkrieg Division""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q39056878,2026-06-14T12:38:05Z,2505884256,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
Q217408,Aum Shinrikyo,"[""Aleph""]","[""Aleph""]",True,"[""Q17127659""]","[""terrorist organization""]",UNVERIFIED_COMMUNITY_CANDIDATE,False,True,False,False,False,True,True,https://www.wikidata.org/wiki/Q217408,2026-08-02T10:09:19Z,2526171122,2026-08-12T15:23:50Z,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/
