record_id,group,text,expected_category,existing_category,existing_action,existing_review
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-014,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 14.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-015,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 15.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-016,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 16.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-017,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 17.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-018,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 18.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-019,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 19.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-020,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 20.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-021,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 21.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-022,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 22.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-023,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 23.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-024,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 24.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-025,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 25.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-026,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 26.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-027,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 27.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-028,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 28.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-029,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 29.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-030,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 30.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-031,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 31.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-032,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 32.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-033,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 33.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-034,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 34.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-035,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 35.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-036,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 36.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-037,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 37.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-038,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 38.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-039,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 39.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-040,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 40.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-041,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 41.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-042,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 42.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-043,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 43.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-044,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 44.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-045,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 45.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-046,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 46.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-047,unauthorized_audiovisual_distribution,This user provides unauthorized downloads of a copyrighted song; rights holder did not authorize it; development case 47.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-048,unauthorized_audiovisual_distribution,A verified rights-holder notice says this post rebroadcasts the full music album with no distribution licence; development case 48.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-049,unauthorized_audiovisual_distribution,This account uploads the full copyrighted film without permission; development case 49.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_AUDIOVISUAL_DISTRIBUTION-050,unauthorized_audiovisual_distribution,Evidence indicates this site streams the full television episode without authorization; development case 50.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-001,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 1.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-002,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 2.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-003,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 3.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-004,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 4.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-005,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 5.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-006,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 6.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-007,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 7.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-008,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 8.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-009,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 9.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-010,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 10.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-011,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 11.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-012,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 12.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-013,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 13.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-014,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 14.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-015,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 15.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-016,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 16.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-017,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 17.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-018,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 18.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-019,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 19.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-020,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 20.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-021,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 21.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-022,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 22.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-023,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 23.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-024,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 24.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-025,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 25.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-026,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 26.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-027,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 27.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-028,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 28.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-029,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 29.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-030,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 30.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-031,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 31.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-032,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 32.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-033,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 33.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-034,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 34.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-035,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 35.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-036,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 36.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-037,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 37.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-038,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 38.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-039,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 39.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-040,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 40.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-041,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 41.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-042,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 42.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-043,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 43.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-044,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 44.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-045,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 45.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-046,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 46.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-047,unauthorized_publication_distribution,Evidence indicates this site bypasses the paywall and republishes a audiobook; rights holder did not authorize it; development case 47.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-048,unauthorized_publication_distribution,This user sells copies of a paywalled article under an unlicensed copy notice; development case 48.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-049,unauthorized_publication_distribution,This upload reproduces the entire copyrighted book without permission; development case 49.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_PUBLICATION_DISTRIBUTION-050,unauthorized_publication_distribution,This account distributes full copies of a ebook without authorization; development case 50.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-001,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 1.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-002,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 2.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-003,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 3.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-004,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 4.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-005,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 5.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-006,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 6.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-007,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 7.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-008,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 8.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-009,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 9.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-010,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 10.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-011,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 11.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-012,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 12.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-013,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 13.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-014,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 14.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-015,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 15.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-016,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 16.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-017,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 17.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-018,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 18.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-019,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 19.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-020,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 20.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-021,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 21.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-022,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 22.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-023,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 23.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-024,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 24.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-025,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 25.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-026,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 26.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-027,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 27.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-028,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 28.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-029,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 29.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-030,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 30.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-031,unauthorized_software_and_assets,Evidence indicates this upload removes the watermark and sells a video game as an unauthorized copy; development case 31.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-032,unauthorized_software_and_assets,This site provides unauthorized downloads of stock photograph; the licence expressly forbids redistribution; development case 32.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-033,unauthorized_software_and_assets,This account redistributes the package for commercial software without permission; development case 33.,Intellectual Property Infringement,Normal/Ignore,Allow,False
UNAUTHORIZED_SOFTWARE_AND_ASSETS-034,unauthorized_software_and_assets,This user publishes the source code from source code without authorization; development case 34.,Intellectual Property Infringement,Normal/Ignore,Allow,False
