record_id,group,text,expected_category
WEAPONS_DOCUMENTS_AND_COUNTERFEIT-040,weapons_documents_and_counterfeit,The account advertises a fake identity document. Buy now. Reference 40.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-001,gambling_and_financial_facilitation,Join this betting offer for illegal gambling; contact me. Reference 1.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-002,gambling_and_financial_facilitation,Join this betting offer for illegal betting; contact me. Reference 2.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-003,gambling_and_financial_facilitation,Join this betting offer for unlicensed betting; contact me. Reference 3.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-004,gambling_and_financial_facilitation,Join this betting offer for unlicensed gambling; contact me. Reference 4.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-005,gambling_and_financial_facilitation,Join this betting offer for money laundering service; contact me. Reference 5.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-006,gambling_and_financial_facilitation,The account promotes illegal gambling. Pay to receive access. Reference 6.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-007,gambling_and_financial_facilitation,The account promotes illegal betting. Pay to receive access. Reference 7.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-008,gambling_and_financial_facilitation,The account promotes unlicensed betting. Pay to receive access. Reference 8.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-009,gambling_and_financial_facilitation,The account promotes unlicensed gambling. Pay to receive access. Reference 9.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-010,gambling_and_financial_facilitation,The account promotes money laundering service. Pay to receive access. Reference 10.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-011,gambling_and_financial_facilitation,A commercial listing offers a illegal gambling. Contact me to order now. Reference 11.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-012,gambling_and_financial_facilitation,A commercial listing offers a illegal betting. Contact me to order now. Reference 12.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-013,gambling_and_financial_facilitation,A commercial listing offers a unlicensed betting. Contact me to order now. Reference 13.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-014,gambling_and_financial_facilitation,A commercial listing offers a unlicensed gambling. Contact me to order now. Reference 14.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-015,gambling_and_financial_facilitation,A commercial listing offers a money laundering service. Contact me to order now. Reference 15.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-016,gambling_and_financial_facilitation,This post advertises illegal gambling; buy now. Reference 16.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-017,gambling_and_financial_facilitation,This post advertises illegal betting; buy now. Reference 17.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-018,gambling_and_financial_facilitation,This post advertises unlicensed betting; buy now. Reference 18.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-019,gambling_and_financial_facilitation,This post advertises unlicensed gambling; buy now. Reference 19.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-020,gambling_and_financial_facilitation,This post advertises money laundering service; buy now. Reference 20.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-021,gambling_and_financial_facilitation,Join this betting offer for illegal gambling; contact me. Reference 21.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-022,gambling_and_financial_facilitation,Join this betting offer for illegal betting; contact me. Reference 22.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-023,gambling_and_financial_facilitation,Join this betting offer for unlicensed betting; contact me. Reference 23.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-024,gambling_and_financial_facilitation,Join this betting offer for unlicensed gambling; contact me. Reference 24.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-025,gambling_and_financial_facilitation,Join this betting offer for money laundering service; contact me. Reference 25.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-026,gambling_and_financial_facilitation,The account promotes illegal gambling. Pay to receive access. Reference 26.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-027,gambling_and_financial_facilitation,The account promotes illegal betting. Pay to receive access. Reference 27.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-028,gambling_and_financial_facilitation,The account promotes unlicensed betting. Pay to receive access. Reference 28.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-029,gambling_and_financial_facilitation,The account promotes unlicensed gambling. Pay to receive access. Reference 29.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-030,gambling_and_financial_facilitation,The account promotes money laundering service. Pay to receive access. Reference 30.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-031,gambling_and_financial_facilitation,A commercial listing offers a illegal gambling. Contact me to order now. Reference 31.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-032,gambling_and_financial_facilitation,A commercial listing offers a illegal betting. Contact me to order now. Reference 32.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-033,gambling_and_financial_facilitation,A commercial listing offers a unlicensed betting. Contact me to order now. Reference 33.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-034,gambling_and_financial_facilitation,A commercial listing offers a unlicensed gambling. Contact me to order now. Reference 34.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-035,gambling_and_financial_facilitation,A commercial listing offers a money laundering service. Contact me to order now. Reference 35.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-036,gambling_and_financial_facilitation,This post advertises illegal gambling; buy now. Reference 36.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-037,gambling_and_financial_facilitation,This post advertises illegal betting; buy now. Reference 37.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-038,gambling_and_financial_facilitation,This post advertises unlicensed betting; buy now. Reference 38.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-039,gambling_and_financial_facilitation,This post advertises unlicensed gambling; buy now. Reference 39.,Illegal Activities
GAMBLING_AND_FINANCIAL_FACILITATION-040,gambling_and_financial_facilitation,This post advertises money laundering service; buy now. Reference 40.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-001,commercial_services_and_protected_symbols,This post advertises prostitution services. Contact me to order now. Reference 1.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-002,commercial_services_and_protected_symbols,This post advertises sexual services for money. Contact me to order now. Reference 2.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-003,commercial_services_and_protected_symbols,This post advertises paid sexual service. Contact me to order now. Reference 3.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-004,commercial_services_and_protected_symbols,This post advertises commercial sexual service. Contact me to order now. Reference 4.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-005,commercial_services_and_protected_symbols,This post advertises fake government emblem. Contact me to order now. Reference 5.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-006,commercial_services_and_protected_symbols,This post advertises misuse national emblem. Contact me to order now. Reference 6.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-007,commercial_services_and_protected_symbols,This post advertises misuse the national flag. Contact me to order now. Reference 7.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-008,commercial_services_and_protected_symbols,A listing offers prostitution services; book now. Reference 8.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-009,commercial_services_and_protected_symbols,A listing offers sexual services for money; book now. Reference 9.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-010,commercial_services_and_protected_symbols,A listing offers paid sexual service; book now. Reference 10.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-011,commercial_services_and_protected_symbols,A listing offers commercial sexual service; book now. Reference 11.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-012,commercial_services_and_protected_symbols,A listing offers fake government emblem; book now. Reference 12.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-013,commercial_services_and_protected_symbols,A listing offers misuse national emblem; book now. Reference 13.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-014,commercial_services_and_protected_symbols,A listing offers misuse the national flag; book now. Reference 14.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-015,commercial_services_and_protected_symbols,The account promotes prostitution services. Available tonight. Reference 15.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-016,commercial_services_and_protected_symbols,The account promotes sexual services for money. Available tonight. Reference 16.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-017,commercial_services_and_protected_symbols,The account promotes paid sexual service. Available tonight. Reference 17.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-018,commercial_services_and_protected_symbols,The account promotes commercial sexual service. Available tonight. Reference 18.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-019,commercial_services_and_protected_symbols,The account promotes fake government emblem. Available tonight. Reference 19.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-020,commercial_services_and_protected_symbols,The account promotes misuse national emblem. Available tonight. Reference 20.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-021,commercial_services_and_protected_symbols,The account promotes misuse the national flag. Available tonight. Reference 21.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-022,commercial_services_and_protected_symbols,Contact me to use this in your advertisement: prostitution services. Reference 22.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-023,commercial_services_and_protected_symbols,Contact me to use this in your advertisement: sexual services for money. Reference 23.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-024,commercial_services_and_protected_symbols,Contact me to use this in your advertisement: paid sexual service. Reference 24.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-025,commercial_services_and_protected_symbols,Contact me to use this in your advertisement: commercial sexual service. Reference 25.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-026,commercial_services_and_protected_symbols,Contact me to use this in your advertisement: fake government emblem. Reference 26.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-027,commercial_services_and_protected_symbols,Contact me to use this in your advertisement: misuse national emblem. Reference 27.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-028,commercial_services_and_protected_symbols,Contact me to use this in your advertisement: misuse the national flag. Reference 28.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-029,commercial_services_and_protected_symbols,This post advertises prostitution services. Contact me to order now. Reference 29.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-030,commercial_services_and_protected_symbols,This post advertises sexual services for money. Contact me to order now. Reference 30.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-031,commercial_services_and_protected_symbols,This post advertises paid sexual service. Contact me to order now. Reference 31.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-032,commercial_services_and_protected_symbols,This post advertises commercial sexual service. Contact me to order now. Reference 32.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-033,commercial_services_and_protected_symbols,This post advertises fake government emblem. Contact me to order now. Reference 33.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-034,commercial_services_and_protected_symbols,This post advertises misuse national emblem. Contact me to order now. Reference 34.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-035,commercial_services_and_protected_symbols,This post advertises misuse the national flag. Contact me to order now. Reference 35.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-036,commercial_services_and_protected_symbols,A listing offers prostitution services; book now. Reference 36.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-037,commercial_services_and_protected_symbols,A listing offers sexual services for money; book now. Reference 37.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-038,commercial_services_and_protected_symbols,A listing offers paid sexual service; book now. Reference 38.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-039,commercial_services_and_protected_symbols,A listing offers commercial sexual service; book now. Reference 39.,Illegal Activities
COMMERCIAL_SERVICES_AND_PROTECTED_SYMBOLS-040,commercial_services_and_protected_symbols,A listing offers fake government emblem; book now. Reference 40.,Illegal Activities
SAFE_REPORTING_EDUCATION_AND_PREVENTION-001,safe_reporting_education_and_prevention,A news report about illegal drugs warns viewers and condemns the conduct. Reference 1.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-002,safe_reporting_education_and_prevention,A news report about unlicensed gun warns viewers and condemns the conduct. Reference 2.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-003,safe_reporting_education_and_prevention,A news report about illegal gambling warns viewers and condemns the conduct. Reference 3.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-004,safe_reporting_education_and_prevention,A news report about fake identity document warns viewers and condemns the conduct. Reference 4.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-005,safe_reporting_education_and_prevention,A news report about counterfeit currency warns viewers and condemns the conduct. Reference 5.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-006,safe_reporting_education_and_prevention,An educational prevention lesson discusses illegal drugs without facilitating a transaction. Reference 6.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-007,safe_reporting_education_and_prevention,An educational prevention lesson discusses unlicensed gun without facilitating a transaction. Reference 7.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-008,safe_reporting_education_and_prevention,An educational prevention lesson discusses illegal gambling without facilitating a transaction. Reference 8.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-009,safe_reporting_education_and_prevention,An educational prevention lesson discusses fake identity document without facilitating a transaction. Reference 9.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-010,safe_reporting_education_and_prevention,An educational prevention lesson discusses counterfeit currency without facilitating a transaction. Reference 10.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-011,safe_reporting_education_and_prevention,A documentary reports on illegal drugs and says the matter was reported to authorities. Reference 11.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-012,safe_reporting_education_and_prevention,A documentary reports on unlicensed gun and says the matter was reported to authorities. Reference 12.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-013,safe_reporting_education_and_prevention,A documentary reports on illegal gambling and says the matter was reported to authorities. Reference 13.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-014,safe_reporting_education_and_prevention,A documentary reports on fake identity document and says the matter was reported to authorities. Reference 14.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-015,safe_reporting_education_and_prevention,A documentary reports on counterfeit currency and says the matter was reported to authorities. Reference 15.,Normal/Ignore
SAFE_REPORTING_EDUCATION_AND_PREVENTION-016,safe_reporting_education_and_prevention,A safety warning says to avoid illegal drugs. Reference 16.,Normal/Ignore
